Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
1,0,0,272,15.3,1
1,0,0,475,55,2
1,0,0,479,59,2
1,0,0,1395,179,4
0,1,0,1150,82,4
1,0,0,479,56,2
0,1,0,1370,135,4
1,0,0,580,68,2
1,0,0,589,63,2
1,0,0,589,63,2
1,0,0,780,52,3
1,0,0,590,58.9,2
0,1,0,800,89,3
1,0,0,1396,170,4
1,0,0,835,88,3
1,0,0,590,49,2
1,0,0,590,58.9,2
1,0,0,600,32.9,2
1,0,0,600,66,2
1,0,0,850,62,3
1,0,0,619,66.5,2
1,0,0,850,62,3
1,0,0,894,89.7,3
0,1,0,571,80,2
1,0,0,1410,158,4
1,0,0,894,90,3
1,0,0,620,63.2,2
1,0,0,625,51.8,2
1,0,0,625,51.8,2
0,1,0,595,76.5,2
1,0,0,637,45,2
1,0,0,894,95,3
1,0,0,650,42.3,2
1,0,0,894,90.5,3
0,1,0,615,80,2
1,0,0,650,39.1,2
1,0,0,650,43,2
1,0,0,650,50,2
1,0,0,650,42,2
1,0,0,300,23,1
1,0,0,924,93.8,3
1,0,0,653,40,2
1,0,0,655,46.5,2
1,0,0,663,44.9,2
1,0,0,665,46,2
1,0,0,665,45,2
1,0,0,670,50,2
1,0,0,315,17.1,1
0,1,0,620,65,2
1,0,0,670,65.5,2
1,0,0,924,102,3
1,0,0,1650,160,4
1,0,0,924,111,3
1,0,0,670,45,2
1,0,0,924,118,3
0,1,0,650,67,2
1,0,0,675,63.7,2
1,0,0,675,71.7,2
1,0,0,924,110,3
0,1,0,2800,475,5
0,1,0,650,78,2
1,0,0,677,70.9,2
1,0,0,680,78,2
1,0,0,1650,185,4
1,0,0,968,120,3
1,0,0,682,81,2
0,1,0,825,94.9,3
1,0,0,682,79,2
1,0,0,968,118,3
1,0,0,682,80,2
0,1,0,1590,205,4
1,0,0,682,80,2
1,0,0,682,84,2
1,0,0,985,106,3
0,1,0,657,95,2
0,1,0,1706,208,4
0,1,0,985,133,3
1,0,0,1667,184,4
0,0,1,960,85,3
0,1,0,1000,150,3
0,0,1,964,80,3
1,0,0,1670,190,4
0,1,0,1850,325,4
1,0,0,695,55,2
0,1,0,2200,360,4
0,1,0,2200,259,4
0,1,0,1050,128,3
0,1,0,2200,360,4
1,0,0,1700,163,4
1,0,0,1850,350,4
1,0,0,695,55,2
1,0,0,985,145,3
0,1,0,1050,155,3
0,1,0,1085,115,3
0,1,0,657,95,2
0,0,1,400,60,1
1,0,0,1967,350,4
1,0,0,695,55,2
0,1,0,2300,380,4
0,1,0,1100,120,3
1,0,0,985,106,3
1,0,0,350,20,1
0,1,0,1100,110,3
1,0,0,1000,100,3
0,1,0,680,55,2
0,1,0,420,14.4,1
0,1,0,2400,315,4
0,1,0,1100,150,3
1,0,0,2000,300,4
0,1,0,1110,130,3
0,1,0,3300,450,5
1,0,0,2870,275,5
0,1,0,1120,144,3
0,1,0,2475,400,4
1,0,0,363,22,1
1,0,0,700,95,2
1,0,0,375,23,1
1,0,0,700,65,2
1,0,0,2000,300,4
1,0,0,700,45.6,2
0,0,1,405,36,1
1,0,0,700,66.2,2
0,0,1,634,59.2,2
1,0,0,1005,103,3
1,0,0,700,70,2
1,0,0,380,25,1
0,1,0,2500,450,4
0,0,1,1050,79,3
1,0,0,1005,104,3
1,0,0,1006,109,3
1,0,0,393,43.5,1
1,0,0,700,44,2
1,0,0,700,55,2
0,1,0,2500,395,4
1,0,0,701,45.5,2
1,0,0,701,48.5,2
1,0,0,1006,105,3
0,1,0,435,33,1
0,1,0,450,27,1
1,0,0,2100,300,4
0,1,0,2600,380,4
0,1,0,2680,430,4
1,0,0,2380,280,4
1,0,0,703,46,2
1,0,0,393,45.9,1
0,1,0,682,66.5,2
0,1,0,2700,450,4
1,0,0,710,58.6,2
1,0,0,713,94,2
0,1,0,2800,375,4
1,0,0,1015,103,3
1,0,0,400,28.2,1
0,1,0,690,86.5,2
1,0,0,1020,109,3
1,0,0,1043,112,3
0,0,1,2050,300,4
0,1,0,2850,400,4
1,0,0,1043,110,3
1,0,0,714,87,2
1,0,0,715,50,2
0,0,1,2400,430,4
1,0,0,415,48,1
1,0,0,2560,450,4
1,0,0,1043,114,3
0,1,0,1150,185,3
1,0,0,1043,103,3
0,1,0,2850,390,4
0,1,0,700,100,2
1,0,0,1050,140,3
0,1,0,1160,140,3
1,0,0,2600,355,4
0,1,0,1168,150,3
1,0,0,720,50,2
0,1,0,2850,395,4
0,0,1,1060,85,3
0,1,0,1170,140,3
0,1,0,1170,150,3
0,1,0,2850,550,4
0,1,0,3300,425,5
0,1,0,3000,425,4
0,0,1,5000,1000,5
1,0,0,1050,127,3
1,0,0,720,63,2
0,1,0,1180,140,3
0,0,1,6000,1100,5
1,0,0,720,67.9,2
0,1,0,3000,425,4
1,0,0,428,55,1
1,0,0,720,95,2
1,0,0,720,93,2
0,1,0,3300,450,5
1,0,0,1052,112,3
1,0,0,720,45,2
0,0,1,650,57,2
0,1,0,708,65,2
1,0,0,1052,120,3
1,0,0,1052,111,3
0,1,0,713,98,2
1,0,0,3200,600,5
1,0,0,2658,395,4
1,0,0,725,44,2
1,0,0,726,71,2
0,1,0,720,81.9,2
1,0,0,450,32,1
1,0,0,726,58.6,2
1,0,0,730,60,2
1,0,0,2727,380,4
0,1,0,3600,800,5
0,1,0,3010,450,4
0,0,1,1125,180,3
1,0,0,730,48.5,2
0,1,0,1200,140,3
1,0,0,732,51.5,2
0,1,0,1200,124,3
1,0,0,737,60.5,2
1,0,0,738,56,2
0,1,0,3150,530,4
1,0,0,740,51,2
1,0,0,1082,110,3
0,1,0,720,105,2
1,0,0,1082,138,3
1,0,0,740,60,2
0,1,0,3200,550,4
1,0,0,1082,112,3
0,0,1,1180,160,3
1,0,0,740,44.8,2
1,0,0,740,45,2
1,0,0,450,25,1
0,1,0,720,62.6,2
1,0,0,740,95,2
1,0,0,740,92,2
1,0,0,740,57.6,2
0,1,0,451,25,1
1,0,0,450,58,1
1,0,0,742,75,2
1,0,0,450,25,1
1,0,0,450,29.5,1
1,0,0,1082,150,3
0,0,1,650,46.8,2
0,1,0,1200,140,3
0,0,1,680,51.3,2
1,0,0,742,69,2
1,0,0,450,54,1
0,1,0,723,121,2
0,1,0,725,105,2
1,0,0,450,55,1
0,0,1,712,68,2
1,0,0,743,61,2
0,1,0,730,96,2
1,0,0,450,31,1
0,1,0,460,45,1
0,1,0,1216,133,3
0,1,0,1219,151,3
1,0,0,460,51,1
1,0,0,466,61,1
1,0,0,470,39.1,1
0,1,0,475,28,1
1,0,0,475,25.8,1
1,0,0,747,74,2
1,0,0,747,72,2
0,1,0,740,59.9,2
1,0,0,475,26.5,1
0,0,1,407,45,1
1,0,0,480,26,1
1,0,0,480,32,1
1,0,0,481,26.8,1
1,0,0,750,59.9,2
0,1,0,750,100,2
1,0,0,750,68,2
0,0,1,722,60.5,2
0,1,0,750,85,2
1,0,0,485,32.6,1
1,0,0,750,82.8,2
1,0,0,2850,410,4
1,0,0,750,62,2
1,0,0,3888,855,5
0,1,0,750,73,2
1,0,0,750,47,2
0,0,1,728,55,2
0,1,0,3300,390,4
0,1,0,750,110,2
1,0,0,750,102,2
0,1,0,3300,495,4
0,1,0,475,28,1
0,1,0,780,55,2
0,0,1,1200,137,3
1,0,0,1082,118,3
0,0,1,448,35,1
1,0,0,750,65,2
1,0,0,751,67,2
1,0,0,751,73.6,2
1,0,0,751,63,2
1,0,0,1082,138,3
0,0,1,730,70,2
0,1,0,784,60,2
0,1,0,1250,145,3
1,0,0,751,63,2
0,1,0,784,73,2
1,0,0,1085,150,3
0,1,0,1250,190,3
0,1,0,1270,190,3
0,0,1,470,54,1
0,1,0,1290,173,3
1,0,0,757,66,2
1,0,0,757,83,2
0,1,0,788,75,2
1,0,0,757,75,2
0,1,0,500,28.2,1
0,1,0,790,92,2
1,0,0,493,48,1
0,1,0,792,91,2
1,0,0,760,51.6,2
1,0,0,495,31.3,1
0,0,1,740,92,2
1,0,0,762,53,2
1,0,0,764,60,2
1,0,0,765,53,2
0,1,0,500,41.4,1
0,1,0,795,105,2
0,1,0,800,69,2
1,0,0,770,55,2
1,0,0,770,77,2
0,1,0,800,70,2
1,0,0,770,77,2
1,0,0,770,77,2
0,1,0,1300,168,3
1,0,0,771,63,2
0,0,1,500,35.7,1
1,0,0,496,50,1
1,0,0,498,56,1
1,0,0,775,50,2
1,0,0,1085,150,3
1,0,0,1100,138,3
1,0,0,500,41.4,1
0,1,0,810,106,2
0,0,1,521,35,1
0,1,0,510,28.2,1
1,0,0,779,78.3,2
1,0,0,500,31.9,1
0,1,0,822,96,2
0,1,0,822,89,2
1,0,0,500,30,1
0,1,0,828,90,2
1,0,0,779,78,2
1,0,0,779,78.5,2
0,1,0,510,26.8,1
1,0,0,1100,160,3
0,1,0,3406,515,4
1,0,0,500,30,1
1,0,0,500,35,1
0,1,0,828,90,2
0,0,1,550,50,1
0,0,1,750,68.3,2
0,1,0,515,30,1
1,0,0,779,83.7,2
1,0,0,779,80,2
1,0,0,779,78,2
1,0,0,779,78.9,2
1,0,0,505,55,1
1,0,0,779,92,2
1,0,0,505,47,1
1,0,0,508,25,1
0,1,0,525,24,1
1,0,0,520,25,1
1,0,0,779,85,2
1,0,0,779,75.5,2
0,1,0,535,26.3,1
1,0,0,779,80,2
0,0,1,800,92,2
1,0,0,525,57,1
0,0,1,804,71.6,2
0,0,1,550,43.9,1
1,0,0,779,86,2
0,0,1,853,115,2
1,0,0,526,32,1
0,1,0,1312,190,3
0,1,0,1400,180,3
1,0,0,1100,139,3
0,1,0,537,28,1
1,0,0,780,73,2
1,0,0,532,27,1
0,1,0,839,95,2
1,0,0,780,93.5,2
1,0,0,784,85.5,2
1,0,0,533,35,1
0,1,0,839,88,2
0,1,0,840,97.5,2
0,1,0,540,25,1
0,1,0,540,60,1
0,0,1,1250,160,3
1,0,0,792,73.5,2
0,0,1,2800,390,4
1,0,0,538,37.6,1
0,1,0,840,85,2
0,1,0,542,30,1
0,1,0,1400,155,3
1,0,0,540,38,1
1,0,0,549,28.4,1
0,1,0,545,25,1
1,0,0,550,27.5,1
1,0,0,794,82,2
0,1,0,550,30,1
0,1,0,840,103,2
0,1,0,850,74.4,2
1,0,0,794,68,2
0,1,0,1400,130,3
0,1,0,1400,187,3
1,0,0,550,30,1
1,0,0,550,29,1
1,0,0,1100,110,3
1,0,0,795,105,2
0,0,1,1300,150,3
1,0,0,1100,112,3
1,0,0,550,38,1
0,1,0,850,80,2
0,1,0,850,120,2
0,1,0,554,32.6,1
1,0,0,554,27,1
0,1,0,850,98,2
1,0,0,798,92,2
0,1,0,570,35,1
0,1,0,857,75,2
1,0,0,555,24.5,1
0,0,1,1350,145,3
1,0,0,555,27,1
0,1,0,870,97,2
1,0,0,560,28,1
0,1,0,577,37,1
1,0,0,560,27,1
0,1,0,580,38,1
1,0,0,798,87,2
1,0,0,800,115,2
1,0,0,800,115,2
0,1,0,1410,235,3
1,0,0,1107,129,3
1,0,0,560,27,1
1,0,0,2850,325,4
1,0,0,560,28,1
0,1,0,880,86,2
1,0,0,560,26,1
0,0,1,587,36,1
0,1,0,900,65,2
0,1,0,591,41,1
1,0,0,570,40,1
0,1,0,900,56,2
0,1,0,900,55,2
1,0,0,580,31,1
0,1,0,595,40,1
0,1,0,600,30,1
1,0,0,580,28.8,1
0,0,1,4000,825,5
1,0,0,580,58,1
1,0,0,584,27,1
0,0,1,4200,155,6
0,0,1,615,60,1
0,0,1,635,54.6,1
1,0,0,589,34,1
0,1,0,607,55,1
0,0,1,965,98.5,2
1,0,0,1107,145,3
0,0,1,1442,140,3
1,0,0,800,75,2
0,0,1,1500,155,3
1,0,0,1107,143,3
1,0,0,595,30,1
0,1,0,608,51.5,1
1,0,0,800,90,2
0,1,0,617,33.2,1
1,0,0,1107,130,3
1,0,0,807,105,2
0,1,0,905,68,2
0,1,0,909,60,2
1,0,0,807,97,2
0,1,0,3500,545,4
1,0,0,595,26.7,1
1,0,0,807,95.3,2
0,1,0,1465,165,3
1,0,0,600,61,1
0,1,0,618,31,1
1,0,0,818,75,2
1,0,0,600,29,1
0,1,0,676,55.2,1
0,1,0,684,40,1
1,0,0,1126,142,3
0,1,0,910,95,2
0,0,1,1000,85,2
1,0,0,820,74.8,2
1,0,0,600,38,1
0,1,0,920,68,2
1,0,0,820,89,2
1,0,0,820,86.4,2
1,0,0,822,95,2
1,0,0,822,100,2
