Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Price,BHK
1,0,0,Unfurnished,414,18,2
1,0,0,Unfurnished,415,22,2
1,0,0,Unfurnished,415,19.5,2
1,0,0,Unfurnished,416,25.3,2
0,1,0,Semi-Furnished,600,26.5,3
1,0,0,Unfurnished,416,19.5,2
0,1,0,Semi-Furnished,744,30.4,3
1,0,0,Unfurnished,416,19.5,2
1,0,0,Unfurnished,419,23,2
1,0,0,Unfurnished,420,20,2
0,1,0,Semi-Furnished,418,24.2,2
1,0,0,Unfurnished,430,22,2
1,0,0,Unfurnished,430,22,2
1,0,0,Unfurnished,450,26,2
1,0,0,Unfurnished,700,79.1,3
1,0,0,Unfurnished,500,25,2
0,1,0,Semi-Furnished,418,24.2,2
1,0,0,Unfurnished,540,27.9,2
1,0,0,Unfurnished,556,21,2
0,1,0,Semi-Furnished,419,25,2
0,1,0,Semi-Furnished,430,19.8,2
0,1,0,Semi-Furnished,798,45,3
1,0,0,Unfurnished,780,83,3
1,0,0,Unfurnished,790,65,3
0,1,0,Semi-Furnished,460,27,2
1,0,0,Unfurnished,580,22.6,2
1,0,0,Unfurnished,580,28,2
1,0,0,Unfurnished,582,32.7,2
1,0,0,Unfurnished,582,27,2
1,0,0,Unfurnished,582,23,2
1,0,0,Unfurnished,600,24,2
1,0,0,Unfurnished,600,48.9,2
1,0,0,Unfurnished,208,11.3,1
1,0,0,Unfurnished,850,92,3
1,0,0,Unfurnished,610,45,2
1,0,0,Unfurnished,612,48,2
1,0,0,Unfurnished,850,68.6,3
1,0,0,Unfurnished,615,41,2
0,1,0,Semi-Furnished,528,23.3,2
1,0,0,Unfurnished,856,70,3
1,0,0,Unfurnished,616,39.4,2
1,0,0,Unfurnished,616,39.4,2
1,0,0,Unfurnished,875,97,3
1,0,0,Unfurnished,625,57,2
1,0,0,Unfurnished,625,48,2
0,1,0,Semi-Furnished,798,32.2,3
1,0,0,Unfurnished,905,99,3
0,0,1,Furnished,620,55.5,2
1,0,0,Unfurnished,927,94.5,3
1,0,0,Unfurnished,927,94.5,3
1,0,0,Unfurnished,625,50,2
1,0,0,Unfurnished,629,60,2
0,1,0,Semi-Furnished,585,27,2
1,0,0,Unfurnished,629,63,2
1,0,0,Unfurnished,630,63.5,2
1,0,0,Unfurnished,630,48,2
1,0,0,Unfurnished,630,53,2
1,0,0,Unfurnished,250,28.5,1
1,0,0,Unfurnished,283,25,1
1,0,0,Unfurnished,636,47,2
1,0,0,Unfurnished,940,76,3
1,0,0,Unfurnished,948,99.6,3
1,0,0,Unfurnished,640,55,2
1,0,0,Unfurnished,642,55,2
1,0,0,Unfurnished,644,52,2
1,0,0,Unfurnished,645,52,2
0,1,0,Semi-Furnished,874,86,3
1,0,0,Unfurnished,949,110,3
1,0,0,Unfurnished,294,20.5,1
0,1,0,Semi-Furnished,625,45,2
1,0,0,Unfurnished,974,109,3
0,1,0,Semi-Furnished,300,27,1
1,0,0,Unfurnished,318,28,1
0,1,0,Semi-Furnished,625,51.5,2
1,0,0,Unfurnished,978,89,3
1,0,0,Unfurnished,645,60,2
0,1,0,Semi-Furnished,629,44,2
0,1,0,Semi-Furnished,630,54.6,2
1,0,0,Unfurnished,650,55,2
0,1,0,Semi-Furnished,900,90,3
1,0,0,Unfurnished,650,54.5,2
1,0,0,Unfurnished,318,21,1
0,0,1,Furnished,640,56,2
1,0,0,Unfurnished,653,46,2
1,0,0,Unfurnished,979,108,3
1,0,0,Unfurnished,979,110,3
1,0,0,Unfurnished,985,91,3
1,0,0,Unfurnished,656,58,2
0,1,0,Semi-Furnished,635,52.1,2
1,0,0,Unfurnished,990,90,3
