Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Price,BHK
1,0,0,Unfurnished,1034,100,3
0,1,0,Semi-Furnished,1100,100,3
1,0,0,Unfurnished,1100,100,3
1,0,0,Unfurnished,1111,100,3
1,0,0,Unfurnished,1180,100,3
0,1,0,Semi-Furnished,1200,100,3
0,1,0,Semi-Furnished,1500,100,3
0,1,0,Semi-Furnished,700,100,2
0,0,1,Furnished,850,100,2
0,1,0,Semi-Furnished,890,100,2
1,0,0,Unfurnished,900,100,2
0,1,0,Semi-Furnished,930,100,2
1,0,0,Unfurnished,995,100,2
0,0,1,Furnished,1067,101,3
0,1,0,Semi-Furnished,1110,100,3
1,0,0,Unfurnished,1111,100,3
1,0,0,Unfurnished,899,100,3
0,1,0,Semi-Furnished,1000,102,3
1,0,0,Unfurnished,1121,102,3
0,0,1,Furnished,1400,102,3
1,0,0,Unfurnished,893,102,2
0,1,0,Semi-Furnished,925,102,3
1,0,0,Unfurnished,1077,103,3
1,0,0,Unfurnished,1111,103,3
1,0,0,Unfurnished,1120,103,3
0,0,1,Furnished,950,103,2
0,1,0,Semi-Furnished,980,103,2
0,0,1,Furnished,990,103,2
1,0,0,Unfurnished,1065,104,3
1,0,0,Unfurnished,1077,104,3
1,0,0,Unfurnished,1010,105,3
1,0,0,Unfurnished,1024,105,3
0,1,0,Semi-Furnished,1024,105,3
1,0,0,Unfurnished,1088,105,3
1,0,0,Unfurnished,1100,105,3
1,0,0,Unfurnished,1100,105,3
1,0,0,Unfurnished,1121,105,3
0,1,0,Semi-Furnished,810,105,2
1,0,0,Unfurnished,850,105,2
1,0,0,Unfurnished,850,105,2
1,0,0,Unfurnished,930,105,2
1,0,0,Unfurnished,948,105,3
1,0,0,Unfurnished,958,105,3
1,0,0,Unfurnished,1140,106,3
1,0,0,Unfurnished,730,106,2
0,1,0,Semi-Furnished,950,106,2
1,0,0,Unfurnished,1059,107,3
0,1,0,Semi-Furnished,1101,107,3
1,0,0,Unfurnished,958,107,3
1,0,0,Unfurnished,1011,108,3
1,0,0,Unfurnished,1024,108,3
1,0,0,Unfurnished,1067,108,3
1,0,0,Unfurnished,1160,108,3
0,0,1,Furnished,1250,108,3
1,0,0,Unfurnished,930,108,2
0,1,0,Semi-Furnished,938,108,3
1,0,0,Unfurnished,1040,109,3
1,0,0,Unfurnished,1076,109,3
1,0,0,Unfurnished,1077,109,3
1,0,0,Unfurnished,1180,109,3
1,0,0,Unfurnished,938,109,3
1,0,0,Unfurnished,965,109,3
1,0,0,Unfurnished,965,109,3
0,1,0,Semi-Furnished,1024,110,3
1,0,0,Unfurnished,1032,110,3
1,0,0,Unfurnished,1041,110,3
1,0,0,Unfurnished,1064,110,2
1,0,0,Unfurnished,1073,110,3
1,0,0,Unfurnished,1086,110,3
1,0,0,Unfurnished,1100,110,3
1,0,0,Unfurnished,1100,110,3
1,0,0,Unfurnished,1100,110,3
0,1,0,Semi-Furnished,1123,110,3
1,0,0,Unfurnished,1150,110,3
1,0,0,Unfurnished,1150,110,3
1,0,0,Unfurnished,1150,110,3
1,0,0,Unfurnished,1150,110,3
1,0,0,Unfurnished,1150,110,3
1,0,0,Unfurnished,1426,110,3
1,0,0,Unfurnished,1540,110,3
0,1,0,Semi-Furnished,1550,110,3
0,1,0,Semi-Furnished,1550,110,3
0,1,0,Semi-Furnished,1589,110,3
1,0,0,Unfurnished,1650,110,3
1,0,0,Unfurnished,840,110,2
0,1,0,Semi-Furnished,870,110,2
0,1,0,Semi-Furnished,900,110,2
0,1,0,Semi-Furnished,950,110,2
1,0,0,Unfurnished,974,110,3
1,0,0,Unfurnished,1000,111,3
1,0,0,Unfurnished,1106,111,3
1,0,0,Unfurnished,990,111,3
1,0,0,Unfurnished,1100,112,3
1,0,0,Unfurnished,1100,112,3
1,0,0,Unfurnished,1145,112,3
1,0,0,Unfurnished,1810,112,3
1,0,0,Unfurnished,790,112,2
0,0,1,Furnished,850,112,3
0,1,0,Semi-Furnished,880,112,2
1,0,0,Unfurnished,911,112,3
1,0,0,Unfurnished,1088,113,3
1,0,0,Unfurnished,1011,114,3
1,0,0,Unfurnished,1024,114,3
1,0,0,Unfurnished,1100,114,3
1,0,0,Unfurnished,1121,114,3
1,0,0,Unfurnished,1350,114,3
1,0,0,Unfurnished,1040,115,3
1,0,0,Unfurnished,1077,115,3
1,0,0,Unfurnished,1100,115,3
1,0,0,Unfurnished,1125,115,3
1,0,0,Unfurnished,1160,115,3
1,0,0,Unfurnished,1182,115,3
1,0,0,Unfurnished,1241,115,3
1,0,0,Unfurnished,1350,115,3
1,0,0,Unfurnished,1399,115,3
1,0,0,Unfurnished,1468,115,3
1,0,0,Unfurnished,1755,115,3
1,0,0,Unfurnished,930,115,3
1,0,0,Unfurnished,958,115,3
0,1,0,Semi-Furnished,1024,116,3
1,0,0,Unfurnished,1338,116,2
0,0,1,Furnished,880,116,2
1,0,0,Unfurnished,1055,117,3
1,0,0,Unfurnished,1121,117,3
1,0,0,Unfurnished,998,117,3
1,0,0,Unfurnished,1100,118,3
1,0,0,Unfurnished,1131,118,3
1,0,0,Unfurnished,1176,118,3
1,0,0,Unfurnished,1067,119,3
1,0,0,Unfurnished,1111,119,3
1,0,0,Unfurnished,1141,119,3
1,0,0,Unfurnished,1064,120,3
1,0,0,Unfurnished,1068,120,3
1,0,0,Unfurnished,1071,120,3
1,0,0,Unfurnished,1090,120,3
0,1,0,Semi-Furnished,1120,120,3
1,0,0,Unfurnished,1121,120,3
0,1,0,Semi-Furnished,1123,120,3
0,1,0,Semi-Furnished,1187,120,3
1,0,0,Unfurnished,1190,120,3
1,0,0,Unfurnished,1190,120,3
1,0,0,Unfurnished,1300,120,2
1,0,0,Unfurnished,1300,120,2
1,0,0,Unfurnished,1350,120,3
1,0,0,Unfurnished,1450,120,3
1,0,0,Unfurnished,1088,121,3
1,0,0,Unfurnished,1141,121,3
0,1,0,Semi-Furnished,1111,122,3
1,0,0,Unfurnished,1148,122,3
1,0,0,Unfurnished,1088,123,3
1,0,0,Unfurnished,1180,123,3
1,0,0,Unfurnished,1190,123,3
0,1,0,Semi-Furnished,1360,123,3
1,0,0,Unfurnished,1123,124,3
1,0,0,Unfurnished,1148,124,3
1,0,0,Unfurnished,1160,124,3
1,0,0,Unfurnished,1000,125,3
1,0,0,Unfurnished,1045,125,3
1,0,0,Unfurnished,1065,125,3
1,0,0,Unfurnished,1070,125,3
1,0,0,Unfurnished,1088,125,3
1,0,0,Unfurnished,1100,125,3
1,0,0,Unfurnished,1147,125,3
1,0,0,Unfurnished,1148,125,3
1,0,0,Unfurnished,1150,125,3
1,0,0,Unfurnished,1150,125,3
1,0,0,Unfurnished,1163,125,3
1,0,0,Unfurnished,1182,125,3
1,0,0,Unfurnished,1200,125,3
0,1,0,Semi-Furnished,1250,125,3
1,0,0,Unfurnished,1250,125,4
1,0,0,Unfurnished,1350,125,4
1,0,0,Unfurnished,1350,125,3
0,1,0,Semi-Furnished,904,125,2
1,0,0,Unfurnished,1153,126,3
1,0,0,Unfurnished,1200,126,3
1,0,0,Unfurnished,1300,127,3
1,0,0,Unfurnished,1250,128,3
1,0,0,Unfurnished,1067,129,3
0,0,1,Furnished,1200,129,3
1,0,0,Unfurnished,1200,129,3
1,0,0,Unfurnished,1241,129,3
0,1,0,Semi-Furnished,1000,130,3
0,1,0,Semi-Furnished,1050,130,2
0,1,0,Semi-Furnished,1100,130,3
0,1,0,Semi-Furnished,1160,130,3
0,1,0,Semi-Furnished,1200,130,3
0,0,1,Furnished,1200,130,3
1,0,0,Unfurnished,1200,130,3
0,1,0,Semi-Furnished,1256,130,3
0,1,0,Semi-Furnished,1360,130,3
1,0,0,Unfurnished,1500,130,3
1,0,0,Unfurnished,970,130,3
1,0,0,Unfurnished,1057,131,3
1,0,0,Unfurnished,1200,132,3
1,0,0,Unfurnished,1205,133,3
1,0,0,Unfurnished,1233,133,3
1,0,0,Unfurnished,1201,134,3
1,0,0,Unfurnished,1233,134,4
1,0,0,Unfurnished,1250,134,4
1,0,0,Unfurnished,1050,135,3
1,0,0,Unfurnished,1050,135,3
1,0,0,Unfurnished,1060,135,3
1,0,0,Unfurnished,1160,135,3
1,0,0,Unfurnished,1281,135,3
0,1,0,Semi-Furnished,1290,135,3
1,0,0,Unfurnished,1556,135,3
0,1,0,Semi-Furnished,1200,137,3
0,1,0,Semi-Furnished,1245,137,3
1,0,0,Unfurnished,1096,138,3
0,1,0,Semi-Furnished,1100,138,3
1,0,0,Unfurnished,1233,139,4
1,0,0,Unfurnished,1094,140,3
1,0,0,Unfurnished,1100,140,3
0,1,0,Semi-Furnished,1100,140,3
1,0,0,Unfurnished,1200,140,3
1,0,0,Unfurnished,1270,140,3
1,0,0,Unfurnished,1380,140,3
1,0,0,Unfurnished,1395,140,3
0,1,0,Semi-Furnished,998,140,3
1,0,0,Unfurnished,1148,142,3
1,0,0,Unfurnished,1140,145,3
1,0,0,Unfurnished,1200,145,3
1,0,0,Unfurnished,1210,145,3
1,0,0,Unfurnished,1233,145,4
0,1,0,Semi-Furnished,1250,145,3
1,0,0,Unfurnished,1200,149,3
1,0,0,Unfurnished,1041,150,3
0,1,0,Semi-Furnished,1100,150,3
1,0,0,Unfurnished,1150,150,3
1,0,0,Unfurnished,1150,150,3
1,0,0,Unfurnished,1233,150,4
0,1,0,Semi-Furnished,1237,150,3
0,1,0,Semi-Furnished,1250,150,3
0,1,0,Semi-Furnished,1265,150,3
1,0,0,Unfurnished,1300,150,3
1,0,0,Unfurnished,1420,150,4
1,0,0,Unfurnished,1547,150,4
1,0,0,Unfurnished,950,150,3
1,0,0,Unfurnished,1100,151,3
1,0,0,Unfurnished,1600,154,4
0,0,1,Furnished,1123,155,3
0,1,0,Semi-Furnished,1150,155,3
1,0,0,Unfurnished,1155,155,3
0,1,0,Semi-Furnished,1177,155,3
0,1,0,Semi-Furnished,1200,155,3
0,1,0,Semi-Furnished,1200,155,3
0,1,0,Semi-Furnished,1250,155,3
1,0,0,Unfurnished,1260,155,3
0,1,0,Semi-Furnished,1260,156,3
0,1,0,Semi-Furnished,1150,158,3
0,1,0,Semi-Furnished,1070,160,3
0,1,0,Semi-Furnished,1300,160,3
0,1,0,Semi-Furnished,1250,162,3
1,0,0,Unfurnished,1070,165,3
1,0,0,Unfurnished,1123,165,3
0,0,1,Furnished,1150,165,3
0,1,0,Semi-Furnished,1150,165,3
0,0,1,Furnished,1150,165,3
1,0,0,Unfurnished,1150,165,3
1,0,0,Unfurnished,1300,165,3
1,0,0,Unfurnished,1400,165,3
1,0,0,Unfurnished,1600,165,4
1,0,0,Unfurnished,1600,165,4
1,0,0,Unfurnished,1250,169,3
0,1,0,Semi-Furnished,1200,170,2
1,0,0,Unfurnished,1222,170,3
1,0,0,Unfurnished,1100,175,3
1,0,0,Unfurnished,1135,180,3
1,0,0,Unfurnished,1578,180,4
1,0,0,Unfurnished,1540,182,4
1,0,0,Unfurnished,1590,182,4
0,1,0,Semi-Furnished,1228,185,3
1,0,0,Unfurnished,1250,185,3
1,0,0,Unfurnished,1250,190,3
0,1,0,Semi-Furnished,1100,195,3
0,0,1,Furnished,1514,195,3
1,0,0,Unfurnished,2500,195,4
1,0,0,Unfurnished,1800,196,4
0,1,0,Semi-Furnished,1150,198,3
0,1,0,Semi-Furnished,1645,198,4
1,0,0,Unfurnished,1350,200,3
0,0,1,Furnished,1650,200,3
1,0,0,Unfurnished,1400,205,3
0,0,1,Furnished,1400,210,3
0,1,0,Semi-Furnished,1280,211,3
1,0,0,Unfurnished,1200,215,3
1,0,0,Unfurnished,1400,215,3
0,1,0,Semi-Furnished,1450,219,3
1,0,0,Unfurnished,1900,220,3
0,1,0,Semi-Furnished,1200,225,3
0,0,1,Furnished,1250,225,3
1,0,0,Unfurnished,2000,225,4
0,1,0,Semi-Furnished,3457,225,4
1,0,0,Unfurnished,1849,248,4
0,1,0,Semi-Furnished,2200,250,3
0,1,0,Semi-Furnished,1850,260,4
0,1,0,Semi-Furnished,1950,260,4
1,0,0,Unfurnished,1923,275,4
0,0,1,Furnished,1400,280,3
1,0,0,Unfurnished,1850,284,4
1,0,0,Unfurnished,1850,285,4
0,1,0,Semi-Furnished,1893,290,4
1,0,0,Unfurnished,1920,290,4
0,1,0,Semi-Furnished,1850,296,4
0,1,0,Semi-Furnished,1500,300,3
1,0,0,Unfurnished,1600,300,3
0,1,0,Semi-Furnished,1950,300,4
0,0,1,Furnished,1950,300,4
