Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
1,0,0,987,99,3
1,0,0,985,105,2
1,0,0,973,115,2
1,0,0,970,97,3
1,0,0,970,108,3
1,0,0,970,108,3
1,0,0,970,108,3
1,0,0,970,97,3
1,0,0,960,105,3
1,0,0,950,93,3
1,0,0,950,120,2
1,0,0,950,118,2
1,0,0,950,104,2
0,1,0,950,110,2
1,0,0,948,98,2
1,0,0,946,107,3
1,0,0,946,98,3
1,0,0,938,195,3
1,0,0,930,97,2
1,0,0,930,107,2
0,1,0,930,120,2
0,1,0,925,113,2
1,0,0,924,110,2
1,0,0,922,109,3
1,0,0,922,106,2
1,0,0,920,115,2
1,0,0,920,112,2
1,0,0,915,99,2
1,0,0,915,101,2
0,0,1,907,90,2
1,0,0,905,110,2
0,1,0,905,103,2
1,0,0,900,95,3
1,0,0,900,92,2
1,0,0,900,103,3
0,1,0,900,105,2
0,1,0,900,165,3
0,1,0,896,104,2
1,0,0,890,86.5,2
1,0,0,890,105,2
1,0,0,890,95,2
0,1,0,882,100,2
0,1,0,882,100,2
1,0,0,880,84,2
1,0,0,880,86,2
0,1,0,880,93,2
1,0,0,875,80,2
1,0,0,873,87,2
0,1,0,873,95,2
1,0,0,872,89,2
1,0,0,870,79,2
1,0,0,867,85.5,2
1,0,0,867,89.5,2
1,0,0,867,83,2
1,0,0,864,89,2
1,0,0,864,91,2
1,0,0,860,86.5,2
1,0,0,860,118,2
1,0,0,860,115,2
1,0,0,860,112,2
1,0,0,860,119,2
1,0,0,858,99,2
1,0,0,856,99,2
0,1,0,856,99,2
0,1,0,856,82.5,2
1,0,0,852,99,2
1,0,0,852,85,2
1,0,0,852,90,2
1,0,0,852,85,2
1,0,0,852,87.3,2
1,0,0,852,87,2
1,0,0,852,80,2
1,0,0,852,85,2
1,0,0,852,82.7,2
0,1,0,852,84,2
0,1,0,852,84,2
0,0,1,852,100,2
1,0,0,851,83.2,2
1,0,0,850,81,2
1,0,0,850,83,2
1,0,0,850,98,2
1,0,0,850,110,2
1,0,0,849,104,2
1,0,0,849,100,2
1,0,0,845,110,2
1,0,0,845,108,2
0,1,0,845,88,2
0,1,0,845,73,2
1,0,0,842,107,2
1,0,0,840,106,2
1,0,0,840,105,2
1,0,0,840,100,2
0,1,0,840,82.8,2
