Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
1,0,0,268,42,1
1,0,0,268,39.1,1
1,0,0,384,27.6,1
0,1,0,419,40,1
1,0,0,430,44,1
0,1,0,440,47,1
1,0,0,490,30,1
0,0,1,492,45,1
1,0,0,520,34,1
1,0,0,520,42,1
1,0,0,520,39,1
1,0,0,525,38,1
0,0,1,551,39,1
1,0,0,565,42,1
1,0,0,565,43,1
1,0,0,580,43,1
1,0,0,580,43,1
1,0,0,585,38,1
1,0,0,585,37,1
0,1,0,585,41,1
0,1,0,585,41,1
1,0,0,600,64,2
1,0,0,600,40,1
1,0,0,600,41,1
0,1,0,600,49,1
0,1,0,600,50,1
0,1,0,600,38,1
0,1,0,600,38,1
1,0,0,604,43.5,1
1,0,0,614,42,1
1,0,0,614,40,1
1,0,0,614,41,1
1,0,0,614,42.5,1
1,0,0,615,62,2
0,1,0,620,50,1
1,0,0,625,65,2
1,0,0,625,65,2
0,1,0,625,49,1
0,1,0,625,51,1
0,1,0,625,49,1
0,1,0,625,49,1
0,1,0,630,40,1
1,0,0,641,41,1
0,1,0,641,38,1
0,0,1,642,45,1
1,0,0,650,70,2
1,0,0,650,42,1
1,0,0,650,63,2
0,0,1,650,42,1
1,0,0,651,63,2
0,0,1,660,88,2
1,0,0,674,75,2
0,0,1,674,73.5,2
1,0,0,675,75,2
1,0,0,675,65.2,2
1,0,0,676,65,2
1,0,0,680,75.9,2
1,0,0,696,64.6,2
1,0,0,700,68,2
1,0,0,701,68,2
1,0,0,703,73,2
1,0,0,705,78,2
1,0,0,706,75,2
0,0,1,707,45,1
1,0,0,713,67.1,2
1,0,0,715,79.9,2
1,0,0,719,75,2
1,0,0,720,99,2
0,0,1,720,73.8,2
1,0,0,722,83.4,2
1,0,0,725,93,2
1,0,0,725,81.9,2
1,0,0,725,96,2
0,1,0,729,87.5,2
0,0,1,729,105,2
0,1,0,730,100,2
0,1,0,730,100,2
0,1,0,730,92,2
0,0,1,730,90,2
0,1,0,732,97,2
1,0,0,735,97,2
1,0,0,737,89,2
1,0,0,740,85,2
1,0,0,740,89,2
1,0,0,740,84,2
1,0,0,740,78,2
1,0,0,740,83,2
1,0,0,740,85,2
0,1,0,740,92,2
1,0,0,741,87,2
1,0,0,742,90,2
0,1,0,746,84,2
1,0,0,747,81,2
1,0,0,750,76,2
1,0,0,750,88,2
1,0,0,750,76,2
1,0,0,750,85,2
1,0,0,750,75.5,2
0,1,0,750,76,2
1,0,0,751,85,2
1,0,0,760,77.6,2
1,0,0,760,83,2
1,0,0,760,75.5,2
1,0,0,760,79,2
1,0,0,760,83,2
1,0,0,760,85,2
1,0,0,760,78,2
1,0,0,760,81,2
1,0,0,760,79,2
1,0,0,760,96,2
0,0,1,760,100,2
1,0,0,762,85,2
1,0,0,762,86,2
1,0,0,762,86,2
1,0,0,762,86,2
1,0,0,762,86,2
1,0,0,762,86,2
1,0,0,762,79,2
0,1,0,762,75.2,2
1,0,0,763,83,2
1,0,0,765,85.5,2
1,0,0,765,96,2
1,0,0,768,98,2
0,0,1,768,105,2
0,1,0,769,88.5,2
0,1,0,770,74.3,2
1,0,0,775,85,2
1,0,0,776,85,2
1,0,0,776,88.5,2
1,0,0,776,79,2
1,0,0,776,81,2
0,1,0,776,77.2,2
1,0,0,777,85,2
1,0,0,778,86.8,2
1,0,0,778,92.9,2
1,0,0,778,92.8,2
1,0,0,779,94,2
1,0,0,780,89,2
0,0,1,780,97,2
1,0,0,790,97,2
1,0,0,792,96,2
1,0,0,792,89,2
1,0,0,793,85,2
1,0,0,797,77.4,2
1,0,0,797,92,2
1,0,0,800,65,2
1,0,0,800,77,2
1,0,0,800,84.7,2
1,0,0,800,95,3
1,0,0,800,60.1,2
1,0,0,800,68.3,2
1,0,0,800,88,2
0,1,0,800,83,2
0,1,0,800,85,2
0,1,0,800,90,2
0,1,0,800,90,2
1,0,0,803,63,2
0,1,0,805,85,2
1,0,0,806,77.6,2
1,0,0,807,90.1,2
1,0,0,808,85,2
1,0,0,808,83.1,2
1,0,0,808,88,2
1,0,0,808,90.5,2
1,0,0,808,84.7,2
0,1,0,808,95,2
0,1,0,808,96,2
0,1,0,808,99,2
1,0,0,810,83,2
1,0,0,810,90,3
1,0,0,810,95,2
0,1,0,810,83,2
1,0,0,814,58,2
1,0,0,816,85,2
1,0,0,816,89.3,2
1,0,0,818,85.6,2
1,0,0,820,88,2
0,1,0,820,85,2
0,0,1,820,88,2
1,0,0,821,95,2
1,0,0,821,93,2
1,0,0,824,97.5,2
1,0,0,824,91,2
1,0,0,824,81,2
1,0,0,824,90,2
1,0,0,824,89,2
1,0,0,824,90,2
1,0,0,824,105,2
1,0,0,824,97,2
1,0,0,824,90,2
1,0,0,824,94,2
1,0,0,824,99,2
1,0,0,824,92,2
0,1,0,824,89,2
0,1,0,824,94,2
1,0,0,826,91.4,2
1,0,0,826,85,2
0,1,0,826,89.1,2
1,0,0,827,97,2
0,1,0,827,90,2
0,1,0,827,88.2,2
1,0,0,828,96,2
1,0,0,828,105,2
0,0,1,828,96,2
1,0,0,830,72,2
1,0,0,830,90,2
1,0,0,830,49,2
1,0,0,832,87,2
1,0,0,832,85,2
0,1,0,837,84,2
1,0,0,838,81,2
1,0,0,838,90,2
1,0,0,838,81,2
1,0,0,838,94,2
1,0,0,838,85,2
1,0,0,838,89,2
0,1,0,838,85,2
0,1,0,838,97,2
0,1,0,845,80,2
1,0,0,848,75,2
1,0,0,848,85,2
1,0,0,848,85,2
1,0,0,850,93,2
1,0,0,850,90,2
1,0,0,850,100,2
1,0,0,850,86,2
1,0,0,850,88,2
1,0,0,850,95,2
1,0,0,850,90,2
1,0,0,850,80,2
1,0,0,850,75,2
1,0,0,850,81.9,2
1,0,0,850,76.1,3
1,0,0,850,78,2
0,1,0,850,85,2
0,1,0,850,86,2
0,1,0,850,95,2
0,1,0,850,85,2
0,0,1,850,78,2
0,0,1,850,80,2
1,0,0,852,85,3
1,0,0,855,89.8,2
1,0,0,855,97,2
1,0,0,857,97.4,2
1,0,0,857,88.4,2
1,0,0,858,83.4,3
1,0,0,860,87,3
1,0,0,860,87,3
1,0,0,862,83.1,3
1,0,0,862,90,3
1,0,0,862,98,3
0,1,0,870,92,2
1,0,0,875,114,2
1,0,0,877,98,2
1,0,0,880,113,2
1,0,0,880,112,2
1,0,0,885,115,2
1,0,0,890,86.3,3
1,0,0,893,100,2
1,0,0,894,91.8,3
1,0,0,898,91,3
1,0,0,900,105,2
0,1,0,900,90,2
0,1,0,900,85,2
0,0,1,900,90,2
0,1,0,904,88,2
1,0,0,910,100,3
1,0,0,912,93.2,3
1,0,0,912,95,3
1,0,0,918,118,3
0,1,0,925,125,3
1,0,0,927,135,3
1,0,0,927,125,3
1,0,0,928,100,3
0,0,1,928,92.1,2
1,0,0,930,114,3
0,1,0,930,96,2
0,0,1,930,80,2
1,0,0,933,108,2
0,1,0,937,137,3
0,1,0,937,132,3
0,1,0,937,125,3
1,0,0,939,110,3
1,0,0,940,100,3
1,0,0,940,98,2
1,0,0,950,98,2
1,0,0,950,90,2
1,0,0,950,92,2
1,0,0,950,88,2
0,1,0,950,125,2
0,0,1,950,80,2
0,1,0,956,108,2
1,0,0,957,94,2
0,1,0,960,100,2
0,1,0,978,127,2
1,0,0,980,105,2
1,0,0,982,96,2
1,0,0,985,103,3
1,0,0,987,109,3
1,0,0,990,100,3
1,0,0,1000,130,3
1,0,0,1000,115,3
1,0,0,1000,123,3
1,0,0,1000,110,3
1,0,0,1000,115,3
1,0,0,1000,116,3
1,0,0,1000,96,2
1,0,0,1000,92,2
1,0,0,1005,112,3
1,0,0,1006,115,3
1,0,0,1008,130,3
1,0,0,1008,101,3
0,1,0,1008,110,3
0,1,0,1008,105,3
1,0,0,1017,110,3
1,0,0,1018,109,3
1,0,0,1018,108,3
1,0,0,1026,135,3
1,0,0,1030,74,2
0,1,0,1030,125,3
1,0,0,1040,125,3
0,1,0,1040,131,3
1,0,0,1043,106,3
1,0,0,1045,72,2
1,0,0,1045,73,2
1,0,0,1045,73,2
0,1,0,1045,73,2
0,1,0,1045,70,2
1,0,0,1050,110,3
1,0,0,1050,72,2
1,0,0,1050,72,2
1,0,0,1050,108,3
0,1,0,1050,72,2
0,1,0,1050,72,2
0,1,0,1050,73,2
1,0,0,1052,112,3
1,0,0,1059,110,3
1,0,0,1060,110,3
1,0,0,1060,150,3
0,1,0,1060,135,3
1,0,0,1061,116,3
1,0,0,1064,117,3
1,0,0,1064,131,3
1,0,0,1065,135,3
1,0,0,1065,145,3
0,1,0,1065,143,3
0,1,0,1065,130,3
1,0,0,1066,132,3
1,0,0,1067,74,2
1,0,0,1068,80.5,2
1,0,0,1070,73,2
0,1,0,1070,135,3
0,0,1,1070,165,3
1,0,0,1080,115,3
1,0,0,1080,120,3
1,0,0,1080,120,3
1,0,0,1080,130,3
1,0,0,1080,129,3
1,0,0,1080,126,3
1,0,0,1080,138,3
1,0,0,1080,75,2
1,0,0,1080,74,2
1,0,0,1080,74,2
1,0,0,1080,115,3
1,0,0,1080,110,3
1,0,0,1080,125,3
0,1,0,1084,119,3
1,0,0,1085,140,3
1,0,0,1085,115,3
1,0,0,1086,150,3
1,0,0,1100,119,3
1,0,0,1100,135,3
1,0,0,1100,127,3
1,0,0,1100,125,3
0,1,0,1100,142,3
0,1,0,1100,149,3
0,1,0,1100,140,3
0,1,0,1100,140,3
0,1,0,1100,140,3
0,0,1,1104,90,2
1,0,0,1108,147,3
1,0,0,1108,155,3
1,0,0,1113,90,2
1,0,0,1120,131,3
1,0,0,1120,150,3
1,0,0,1120,133,3
0,1,0,1120,135,3
0,1,0,1121,159,3
1,0,0,1127,85,2
1,0,0,1127,130,3
1,0,0,1129,135,3
1,0,0,1131,123,3
0,1,0,1131,135,3
1,0,0,1134,150,3
1,0,0,1138,145,3
1,0,0,1138,135,3
1,0,0,1138,139,3
1,0,0,1145,109,3
1,0,0,1146,111,3
1,0,0,1150,130,2
1,0,0,1150,107,2
1,0,0,1150,74,2
1,0,0,1150,73,2
1,0,0,1150,74,2
0,1,0,1150,160,3
0,1,0,1150,140,3
0,0,1,1152,89,2
1,0,0,1160,130,3
1,0,0,1170,119,2
1,0,0,1170,142,3
1,0,0,1171,125,2
0,1,0,1180,157,3
0,1,0,1181,180,3
0,1,0,1181,170,3
0,1,0,1187,170,3
0,1,0,1187,168,3
0,1,0,1187,175,3
1,0,0,1189,128,3
0,1,0,1190,155,3
1,0,0,1197,95,2
1,0,0,1200,125,3
1,0,0,1200,80,2
1,0,0,1200,128,3
0,1,0,1200,175,3
0,1,0,1200,165,3
