Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
0,0,1,300,32.6,1
1,0,0,340,22,1
1,0,0,365,26,1
1,0,0,366,30,1
1,0,0,368,21,1
1,0,0,372,19,1
1,0,0,381,19,1
1,0,0,396,25,1
1,0,0,398,27.5,1
0,1,0,400,31,1
1,0,0,400,32.2,1
1,0,0,400,34,1
0,1,0,400,39,1
1,0,0,406,28,1
1,0,0,408,24,1
0,1,0,408,32.2,1
0,0,1,410,35,1
0,1,0,421,32,1
1,0,0,425,30,1
1,0,0,426,25,1
1,0,0,430,35,1
0,1,0,436,27,1
1,0,0,448,25,1
1,0,0,450,25.8,1
1,0,0,450,28.2,1
0,1,0,450,30.5,1
1,0,0,450,32,1
0,1,0,453,27.5,1
1,0,0,456,32,1
1,0,0,457,32,1
1,0,0,458,33,1
0,1,0,460,36,1
1,0,0,463,32,1
1,0,0,470,33,1
1,0,0,470,36.5,1
1,0,0,475,32,1
1,0,0,480,32,1
1,0,0,480,35,1
0,1,0,484,33,1
0,1,0,485,32.2,1
0,1,0,489,32.5,1
1,0,0,490,29.9,1
1,0,0,490,30,1
1,0,0,490,30.5,1
1,0,0,490,33.8,1
1,0,0,490,35,1
0,0,1,493,32.5,1
1,0,0,494,24.5,1
1,0,0,495,21,1
1,0,0,497,25,1
1,0,0,500,28,1
1,0,0,500,28,1
0,1,0,500,28,1
1,0,0,500,28.5,1
1,0,0,500,29,1
1,0,0,500,29.3,1
1,0,0,500,30.1,1
1,0,0,500,34.4,2
0,1,0,500,35,1
1,0,0,508,28.2,1
1,0,0,510,30,1
1,0,0,510,35,1
1,0,0,514,40,2
1,0,0,517,35,1
0,0,1,520,35.7,1
1,0,0,521,39.5,1
1,0,0,522,32,1
1,0,0,522,38,1
1,0,0,525,35,1
0,1,0,527,32,1
1,0,0,530,32,1
1,0,0,530,36.8,1
1,0,0,534,27,1
1,0,0,534,48,2
0,0,1,535,34,1
0,0,1,535,35,1
0,1,0,540,26,1
0,1,0,540,27,1
1,0,0,543,40,2
0,1,0,546,26,1
1,0,0,546,26.5,1
1,0,0,550,20.7,1
1,0,0,550,27,1
0,1,0,550,28,1
0,1,0,550,30.6,1
1,0,0,550,31.5,1
1,0,0,560,25,1
0,1,0,560,30.6,1
1,0,0,560,31.6,1
1,0,0,560,32,1
0,1,0,560,32,1
1,0,0,560,38.6,2
0,1,0,561,41,2
1,0,0,565,20,1
1,0,0,566,25,1
1,0,0,571,35,1
0,0,1,572,30,1
1,0,0,575,26,1
1,0,0,575,30,1
1,0,0,575,32.6,1
1,0,0,581,46.5,2
1,0,0,591,27,1
0,1,0,595,43,2
1,0,0,597,37.4,2
1,0,0,599,44,2
1,0,0,600,26.5,1
1,0,0,600,28,1
0,1,0,600,30,1
1,0,0,600,32.5,2
1,0,0,600,36.4,1
1,0,0,600,42,2
1,0,0,600,44.7,2
1,0,0,605,25,1
0,1,0,605,27,1
0,1,0,605,27.9,1
1,0,0,605,29.8,1
1,0,0,605,32,1
0,1,0,608,35,1
0,0,1,610,25,1
1,0,0,610,26.4,1
1,0,0,610,28,1
0,1,0,610,43,1
1,0,0,610,48,2
1,0,0,611,43,2
1,0,0,611,43,2
0,1,0,611,43,2
0,1,0,611,46,2
1,0,0,613,23,1
1,0,0,613,38,2
1,0,0,615,28,1
1,0,0,615,28,1
1,0,0,616,37,2
1,0,0,617,30.9,1
0,1,0,618,40,1
1,0,0,620,41.9,2
0,0,1,625,28,1
0,1,0,630,40,1
1,0,0,632,26.8,1
1,0,0,635,49.8,2
1,0,0,638,43,2
0,1,0,639,43.7,2
1,0,0,640,40,2
0,1,0,641,30,1
0,1,0,644,32,1
1,0,0,645,44,2
1,0,0,645,45,2
0,1,0,645,55,2
1,0,0,646,45,2
1,0,0,650,30,1
1,0,0,650,31,1
1,0,0,650,32,1
1,0,0,650,33.5,1
0,1,0,650,35.5,1
1,0,0,650,41,2
0,1,0,650,42.5,2
0,1,0,650,47.3,2
1,0,0,650,47.9,2
1,0,0,650,54,2
0,1,0,650,55,2
1,0,0,652,29,1
1,0,0,654,46.8,2
1,0,0,655,34,1
1,0,0,656,42.3,2
0,0,1,657,40,1
1,0,0,658,45,2
1,0,0,658,53,2
1,0,0,658,53,2
1,0,0,658,53,2
0,0,1,658,55,2
1,0,0,660,38,2
0,1,0,661,49.8,2
0,1,0,662,33.7,2
0,1,0,662,38,2
1,0,0,664,45,2
0,1,0,668,39,1
1,0,0,670,28,1
1,0,0,670,36.3,2
1,0,0,670,51.2,2
1,0,0,673,52,2
1,0,0,675,30.4,1
1,0,0,675,38.4,2
1,0,0,675,48,2
1,0,0,680,30.7,1
1,0,0,680,32,1
1,0,0,680,45,2
1,0,0,680,48,2
1,0,0,684,45.1,2
1,0,0,688,38,2
1,0,0,690,31,1
1,0,0,690,41.9,2
0,1,0,693,45,2
1,0,0,700,39.1,2
0,1,0,700,40,1
1,0,0,700,41.9,2
1,0,0,700,46,2
1,0,0,700,46,2
0,1,0,700,46,2
1,0,0,700,46.5,2
1,0,0,700,50,2
0,1,0,700,50,2
0,1,0,700,50.1,2
1,0,0,700,52,2
1,0,0,700,60,2
1,0,0,700,63,2
1,0,0,701,42,2
1,0,0,704,38,2
1,0,0,704,51,2
1,0,0,705,47,2
1,0,0,715,46,2
0,1,0,715,48,2
0,1,0,718,65,2
0,1,0,718,70,2
1,0,0,719,36,1
1,0,0,719,42,2
1,0,0,720,35,1
1,0,0,720,43,2
1,0,0,720,50,2
1,0,0,721,49,2
0,1,0,721,79.3,2
1,0,0,722,51.5,2
1,0,0,722,73.6,2
1,0,0,722,74,2
1,0,0,722,76.5,2
1,0,0,722,80,2
1,0,0,722,81.9,2
1,0,0,723,52.5,2
0,1,0,724,75.4,2
1,0,0,729,38,2
1,0,0,729,39.5,2
1,0,0,730,50,2
1,0,0,730,55,2
0,1,0,730,55,2
0,0,1,735,65,2
1,0,0,738,35,1
1,0,0,741,50,2
1,0,0,741,52,2
1,0,0,750,37.9,1
0,1,0,750,42,1
0,1,0,750,43.2,2
1,0,0,750,45,2
0,1,0,750,45,2
1,0,0,750,50,2
1,0,0,750,51.7,2
1,0,0,750,54.3,2
1,0,0,750,56,2
1,0,0,760,45,2
1,0,0,760,48,2
1,0,0,760,75,2
1,0,0,760,75,2
1,0,0,767,68.4,2
1,0,0,767,72,2
1,0,0,767,72,2
1,0,0,767,79,2
0,1,0,770,36.9,2
0,0,1,770,58,2
0,1,0,775,42.3,2
0,0,1,780,37,1
0,1,0,780,42,2
1,0,0,780,50,2
0,1,0,780,51.5,2
1,0,0,780,56,2
1,0,0,780,57,2
0,1,0,789,41.8,2
1,0,0,789,63,2
0,0,1,789,69,2
0,1,0,791,40,2
0,1,0,797,70,2
0,1,0,798,62,2
0,0,1,800,56.4,2
1,0,0,800,57,2
1,0,0,800,60,2
0,1,0,800,60,2
1,0,0,800,63,2
0,0,1,800,65,2
0,1,0,800,70,2
1,0,0,804,45,1
1,0,0,806,64.5,2
1,0,0,807,69,2
1,0,0,808,73,2
1,0,0,808,73,2
1,0,0,808,73,2
1,0,0,810,70.1,2
1,0,0,810,94,2
1,0,0,814,97,2
0,1,0,815,65,2
0,1,0,815,70,2
1,0,0,815,75,2
0,1,0,820,61.1,2
1,0,0,824,85,2
1,0,0,824,88,2
1,0,0,824,89,2
1,0,0,825,50,2
0,1,0,825,68,2
1,0,0,825,69,2
0,1,0,830,62,2
1,0,0,830,65,2
1,0,0,834,73,2
1,0,0,839,46,2
1,0,0,845,33.5,2
1,0,0,845,41,2
1,0,0,850,40,2
1,0,0,850,42,2
0,1,0,850,46,2
1,0,0,850,48,2
0,0,1,850,80,2
1,0,0,850,110,3
1,0,0,851,89,3
0,1,0,852,46,2
1,0,0,852,91,3
1,0,0,859,42,2
1,0,0,860,50,2
1,0,0,870,43,2
1,0,0,875,48.8,2
0,1,0,884,45,2
1,0,0,885,45,2
1,0,0,887,52,2
1,0,0,890,43,2
0,1,0,890,60,2
1,0,0,890,69,3
0,0,1,892,85,2
1,0,0,899,32,2
1,0,0,900,50,2
0,1,0,900,50,2
0,1,0,900,50,2
0,1,0,900,57,2
1,0,0,900,90,3
1,0,0,906,90,3
0,1,0,913,42,2
1,0,0,916,60,2
0,1,0,920,43,2
1,0,0,923,60,2
0,1,0,927,48,2
0,1,0,928,114,3
1,0,0,928,117,3
1,0,0,930,59,2
1,0,0,930,114,3
0,1,0,935,44,2
0,1,0,937,132,3
0,1,0,945,46.4,2
1,0,0,945,100,3
1,0,0,947,57,2
0,1,0,955,55,2
1,0,0,963,50.2,2
1,0,0,967,113,3
1,0,0,974,50.1,2
1,0,0,975,45,2
1,0,0,978,38,2
1,0,0,978,42,2
0,1,0,980,138,3
0,1,0,983,52,2
0,1,0,984,50.1,2
0,1,0,989,40,2
1,0,0,989,90,3
1,0,0,989,99,3
1,0,0,990,45,2
1,0,0,990,100,3
1,0,0,1000,50,2
1,0,0,1000,55,2
0,1,0,1000,55,2
1,0,0,1000,59,2
1,0,0,1000,60,2
1,0,0,1000,107,3
0,1,0,1002,57,2
1,0,0,1022,52,2
0,0,1,1026,89,3
1,0,0,1031,54,2
0,0,1,1033,95,3
1,0,0,1047,125,3
1,0,0,1048,59,2
1,0,0,1050,50,2
1,0,0,1050,93,3
1,0,0,1050,93,3
1,0,0,1050,140,3
1,0,0,1050,143,3
1,0,0,1055,125,3
1,0,0,1068,135,3
1,0,0,1070,49,2
1,0,0,1077,100,3
1,0,0,1080,50,2
0,1,0,1080,55,2
1,0,0,1084,130,3
1,0,0,1085,48,2
1,0,0,1085,48,2
1,0,0,1086,98,3
1,0,0,1087,98,3
1,0,0,1095,91.5,3
1,0,0,1095,97,3
1,0,0,1095,120,3
1,0,0,1100,65,2
1,0,0,1100,118,3
1,0,0,1100,119,3
1,0,0,1115,45,2
1,0,0,1120,62,2
1,0,0,1120,100,3
0,1,0,1120,120,3
1,0,0,1130,95,3
0,1,0,1130,129,3
0,1,0,1130,130,3
0,1,0,1131,121,3
0,1,0,1131,123,3
1,0,0,1132,136,3
1,0,0,1133,138,3
0,1,0,1140,109,3
0,1,0,1175,50,2
1,0,0,1175,51,2
1,0,0,1200,50.1,3
1,0,0,1200,93.5,3
0,1,0,1200,130,3
1,0,0,1220,94,3
1,0,0,1222,56.4,3
1,0,0,1222,90,3
0,1,0,1225,130,3
0,1,0,1227,127,3
1,0,0,1241,108,3
1,0,0,1246,95,3
0,1,0,1249,101,3
1,0,0,1250,65,2
1,0,0,1250,105,3
0,1,0,1250,115,3
0,1,0,1253,50,2
1,0,0,1253,106,3
0,0,1,1280,95,4
1,0,0,1300,85,4
1,0,0,1345,100,3
0,1,0,1350,105,3
0,0,1,1370,79.1,3
0,1,0,1500,135,3
0,1,0,1560,137,4
