Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Rent,BHK
0,0,1,Furnished,650,10000,1
1,0,0,Unfurnished,336,14200,1
0,0,1,Furnished,647,11000,1
1,0,0,Unfurnished,399,14000,1
1,0,0,Unfurnished,420,14999,1
0,0,1,Furnished,950,12000,1
0,0,1,Furnished,750,12000,1
0,0,1,Furnished,980,12000,1
0,0,1,Furnished,670,12000,1
0,0,1,Furnished,650,12000,1
0,0,1,Furnished,200,12000,1
0,0,1,Furnished,696,13000,1
0,1,0,Semi-furnished,300,13500,1
0,0,1,Furnished,750,13700,1
0,0,1,Furnished,750,13700,1
1,0,0,Unfurnished,450,15000,1
1,0,0,Unfurnished,450,20500,1
0,0,1,Furnished,246,14000,1
0,0,1,Furnished,200,14100,1
0,0,1,Furnished,750,14100,1
1,0,0,Unfurnished,450,22000,1
1,0,0,Unfurnished,450,23000,1
0,0,1,Furnished,740,15000,1
1,0,0,Unfurnished,450,25000,1
1,0,0,Unfurnished,469,19999,1
0,0,1,Furnished,850,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,850,15000,1
0,0,1,Furnished,1000,15000,1
1,0,0,Unfurnished,489,20800,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,760,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,850,15000,1
0,0,1,Furnished,750,15000,1
1,0,0,Unfurnished,500,17000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,650,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,0,1,Furnished,750,15000,1
0,1,0,Semi-furnished,369,15100,1
0,0,1,Furnished,750,15600,1
0,0,1,Furnished,362,16000,1
0,0,1,Furnished,360,16000,1
0,0,1,Furnished,365,16000,1
0,0,1,Furnished,496,16800,1
0,1,0,Semi-furnished,550,16800,1
0,1,0,Semi-furnished,550,16900,1
1,0,0,Unfurnished,500,20000,1
1,0,0,Unfurnished,600,22000,2
1,0,0,Unfurnished,520,18000,1
0,1,0,Semi-furnished,400,17000,1
0,0,1,Furnished,265,17000,1
1,0,0,Unfurnished,523,23000,1
1,0,0,Unfurnished,528,18100,1
0,1,0,Semi-furnished,450,18000,1
1,0,0,Unfurnished,620,25000,2
0,1,0,Semi-furnished,850,18000,2
1,0,0,Unfurnished,580,17200,1
0,1,0,Semi-furnished,510,18000,1
0,1,0,Semi-furnished,510,18000,1
1,0,0,Unfurnished,635,18000,2
0,1,0,Semi-furnished,990,18000,2
0,1,0,Semi-furnished,489,18000,1
1,0,0,Unfurnished,650,24500,2
0,1,0,Semi-furnished,950,18000,1
1,0,0,Unfurnished,583,17000,1
1,0,0,Unfurnished,680,28200,2
1,0,0,Unfurnished,686,25000,2
1,0,0,Unfurnished,700,24999,2
1,0,0,Unfurnished,700,25000,2
0,0,1,Furnished,1080,19630,2
1,0,0,Unfurnished,600,14000,1
0,1,0,Semi-furnished,469,19999,1
0,0,1,Furnished,650,20000,1
1,0,0,Unfurnished,618,18000,1
0,1,0,Semi-furnished,1000,20000,2
1,0,0,Unfurnished,650,20000,1
0,1,0,Semi-furnished,800,20000,2
1,0,0,Unfurnished,695,21000,1
1,0,0,Unfurnished,700,17000,1
1,0,0,Unfurnished,700,25000,2
1,0,0,Unfurnished,740,15000,1
1,0,0,Unfurnished,700,25000,2
1,0,0,Unfurnished,700,26000,2
0,1,0,Semi-furnished,870,22000,2
0,0,1,Furnished,510,22000,1
1,0,0,Unfurnished,712,26000,2
0,1,0,Semi-furnished,670,22000,2
1,0,0,Unfurnished,730,18000,2
1,0,0,Unfurnished,736,23999,2
1,0,0,Unfurnished,744,21999,2
1,0,0,Unfurnished,749,26000,2
0,1,0,Semi-furnished,470,22999,1
0,0,1,Furnished,710,23000,1
1,0,0,Unfurnished,750,15000,1
1,0,0,Unfurnished,750,15000,1
1,0,0,Unfurnished,750,26000,2
1,0,0,Unfurnished,750,26000,2
1,0,0,Unfurnished,750,27000,2
1,0,0,Unfurnished,750,32000,2
0,0,1,Furnished,700,24000,1
0,0,1,Furnished,850,24000,1
1,0,0,Unfurnished,760,25000,2
1,0,0,Unfurnished,762,24999,2
1,0,0,Unfurnished,780,26000,2
0,1,0,Semi-furnished,850,24000,2
1,0,0,Unfurnished,782,24999,2
1,0,0,Unfurnished,785,27000,2
1,0,0,Unfurnished,792,19600,2
0,1,0,Semi-furnished,800,24000,2
1,0,0,Unfurnished,800,19000,2
1,0,0,Unfurnished,800,19000,2
0,1,0,Semi-furnished,750,24000,2
1,0,0,Unfurnished,800,22000,2
1,0,0,Unfurnished,800,24000,2
1,0,0,Unfurnished,800,24999,2
1,0,0,Unfurnished,800,25000,2
0,1,0,Semi-furnished,813,24999,2
1,0,0,Unfurnished,800,25000,2
1,0,0,Unfurnished,800,25000,2
1,0,0,Unfurnished,800,25000,2
1,0,0,Unfurnished,800,25000,2
0,1,0,Semi-furnished,1000,25000,2
1,0,0,Unfurnished,800,26000,2
1,0,0,Unfurnished,800,27000,2
1,0,0,Unfurnished,800,27000,2
1,0,0,Unfurnished,800,28000,2
1,0,0,Unfurnished,800,30000,2
1,0,0,Unfurnished,800,32000,2
1,0,0,Unfurnished,800,32000,2
