Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Rent,BHK
0,0,1,Furnished,1340,65000,4
0,1,0,Semi-Furnished,250,8500,1
0,0,1,Furnished,610,34000,2
0,0,1,Furnished,630,37000,2
1,0,0,Unfurnished,365,19000,1
1,0,0,Unfurnished,700,24000,3
1,0,0,Unfurnished,380,20000,1
0,1,0,Semi-Furnished,400,22000,1
0,1,0,Semi-Furnished,400,23000,1
1,0,0,Unfurnished,470,27000,2
0,1,0,Semi-Furnished,405,22000,1
0,1,0,Semi-Furnished,435,24000,1
0,0,1,Furnished,3388,79000,5
0,0,1,Furnished,300,20000,1
1,0,0,Unfurnished,400,23000,1
0,0,1,Furnished,310,20000,1
0,1,0,Semi-Furnished,440,22000,1
0,0,1,Furnished,850,38000,3
0,1,0,Semi-Furnished,450,21000,1
0,1,0,Semi-Furnished,450,13000,1
0,1,0,Semi-Furnished,450,22000,1
0,0,1,Furnished,850,43200,3
0,1,0,Semi-Furnished,450,21000,1
1,0,0,Unfurnished,500,25000,2
1,0,0,Unfurnished,950,37000,3
0,0,1,Furnished,320,20000,1
1,0,0,Unfurnished,590,26000,2
1,0,0,Unfurnished,985,35000,3
1,0,0,Unfurnished,600,28000,2
0,0,1,Furnished,340,22000,1
0,0,1,Furnished,638,38000,2
0,0,1,Furnished,390,20000,1
0,0,1,Furnished,400,23000,1
1,0,0,Unfurnished,600,26000,2
0,0,1,Furnished,650,35000,2
0,0,1,Furnished,1000,32000,3
1,0,0,Unfurnished,600,25000,2
1,0,0,Unfurnished,400,20000,1
1,0,0,Unfurnished,400,13999,1
1,0,0,Unfurnished,610,29000,2
1,0,0,Unfurnished,623,27000,2
1,0,0,Unfurnished,638,29000,2
0,1,0,Semi-Furnished,450,20000,1
1,0,0,Unfurnished,410,25000,1
1,0,0,Unfurnished,638,28000,2
1,0,0,Unfurnished,413,24000,1
1,0,0,Unfurnished,420,25000,1
1,0,0,Unfurnished,425,23000,1
1,0,0,Unfurnished,650,25000,2
1,0,0,Unfurnished,425,23000,1
1,0,0,Unfurnished,650,15000,2
1,0,0,Unfurnished,650,36000,2
0,1,0,Semi-Furnished,460,18000,1
0,1,0,Semi-Furnished,460,23000,1
0,1,0,Semi-Furnished,465,15000,1
0,0,1,Furnished,400,17999,1
0,0,1,Furnished,660,27000,2
1,0,0,Unfurnished,430,18000,1
0,0,1,Furnished,675,29000,2
0,1,0,Semi-Furnished,465,15000,1
0,0,1,Furnished,680,37000,2
1,0,0,Unfurnished,650,27500,2
0,1,0,Semi-Furnished,480,24000,1
0,1,0,Semi-Furnished,480,23500,1
0,1,0,Semi-Furnished,480,12000,1
0,1,0,Semi-Furnished,480,12000,1
0,1,0,Semi-Furnished,480,22000,1
1,0,0,Unfurnished,659,15000,2
1,0,0,Unfurnished,450,20000,1
0,1,0,Semi-Furnished,480,14500,1
0,1,0,Semi-Furnished,480,25000,1
1,0,0,Unfurnished,450,22000,1
0,0,1,Furnished,700,23000,2
1,0,0,Unfurnished,672,25000,2
0,1,0,Semi-Furnished,488,24000,1
1,0,0,Unfurnished,675,30000,2
0,0,1,Furnished,700,39000,2
0,0,1,Furnished,700,28000,2
0,1,0,Semi-Furnished,500,25000,1
1,0,0,Unfurnished,450,23000,1
0,1,0,Semi-Furnished,500,23000,1
0,0,1,Furnished,702,21000,2
1,0,0,Unfurnished,675,30000,2
0,0,1,Furnished,707,41500,2
1,0,0,Unfurnished,690,25000,2
1,0,0,Unfurnished,450,25000,1
0,0,1,Furnished,730,36000,2
1,0,0,Unfurnished,450,19000,1
0,0,1,Furnished,730,40000,2
0,0,1,Furnished,1150,55000,3
0,1,0,Semi-Furnished,500,23000,1
1,0,0,Unfurnished,1013,27000,3
1,0,0,Unfurnished,690,30000,2
1,0,0,Unfurnished,700,28000,2
0,1,0,Semi-Furnished,500,24000,1
0,1,0,Semi-Furnished,500,20000,1
1,0,0,Unfurnished,700,30000,2
0,0,1,Furnished,740,36000,2
0,0,1,Furnished,400,22000,1
0,1,0,Semi-Furnished,500,11200,1
0,0,1,Furnished,740,36000,2
1,0,0,Unfurnished,450,23000,1
1,0,0,Unfurnished,700,31000,2
1,0,0,Unfurnished,700,32000,2
1,0,0,Unfurnished,700,30000,2
1,0,0,Unfurnished,450,25000,1
0,0,1,Furnished,750,33000,2
0,1,0,Semi-Furnished,500,26000,2
1,0,0,Unfurnished,450,21500,1
0,0,1,Furnished,750,35000,2
0,1,0,Semi-Furnished,500,28000,2
1,0,0,Unfurnished,450,23000,1
0,1,0,Semi-Furnished,502,11500,1
0,1,0,Semi-Furnished,530,22000,1
0,1,0,Semi-Furnished,530,20000,1
1,0,0,Unfurnished,450,14000,1
0,1,0,Semi-Furnished,530,19900,1
0,1,0,Semi-Furnished,530,19000,1
1,0,0,Unfurnished,450,25000,1
0,0,1,Furnished,420,25000,1
1,0,0,Unfurnished,700,30000,2
0,1,0,Semi-Furnished,540,17100,1
0,1,0,Semi-Furnished,550,26000,1
0,0,1,Furnished,750,38000,2
0,0,1,Furnished,420,28000,1
0,1,0,Semi-Furnished,550,24000,1
1,0,0,Unfurnished,700,28000,2
0,1,0,Semi-Furnished,550,25000,1
1,0,0,Unfurnished,700,29500,2
1,0,0,Unfurnished,456,20000,1
1,0,0,Unfurnished,710,28000,2
0,1,0,Semi-Furnished,570,24000,1
0,0,1,Furnished,1170,46000,3
0,1,0,Semi-Furnished,580,23000,1
1,0,0,Unfurnished,710,35000,2
0,1,0,Semi-Furnished,589,18000,1
1,0,0,Unfurnished,460,19800,1
1,0,0,Unfurnished,710,25000,2
0,1,0,Semi-Furnished,595,20000,1
0,1,0,Semi-Furnished,600,30000,2
1,0,0,Unfurnished,470,20000,1
0,1,0,Semi-Furnished,600,25000,2
0,1,0,Semi-Furnished,600,21800,1
1,0,0,Unfurnished,714,25000,2
1,0,0,Unfurnished,720,28000,2
0,1,0,Semi-Furnished,600,26000,1
0,0,1,Furnished,750,27000,2
0,0,1,Furnished,430,26000,1
1,0,0,Unfurnished,720,30000,2
0,1,0,Semi-Furnished,605,15000,1
1,0,0,Unfurnished,720,31000,2
1,0,0,Unfurnished,721,36000,2
1,0,0,Unfurnished,725,33500,2
0,1,0,Semi-Furnished,610,22000,1
1,0,0,Unfurnished,480,22000,1
0,1,0,Semi-Furnished,623,12000,1
0,0,1,Furnished,750,30000,2
1,0,0,Unfurnished,1100,40000,3
1,0,0,Unfurnished,480,24000,1
1,0,0,Unfurnished,480,16000,1
1,0,0,Unfurnished,730,26000,2
0,0,1,Furnished,750,35000,2
1,0,0,Unfurnished,732,38000,2
1,0,0,Unfurnished,1110,45000,3
0,0,1,Furnished,750,40000,2
1,0,0,Unfurnished,480,23000,1
0,1,0,Semi-Furnished,650,25000,2
1,0,0,Unfurnished,480,22000,1
0,1,0,Semi-Furnished,650,24000,1
0,0,1,Furnished,430,25000,1
0,0,1,Furnished,750,35000,2
0,0,1,Furnished,750,40000,2
0,0,1,Furnished,756,33000,2
0,1,0,Semi-Furnished,650,14000,1
1,0,0,Unfurnished,740,33000,2
0,1,0,Semi-Furnished,670,26000,2
0,1,0,Semi-Furnished,690,13000,1
0,0,1,Furnished,780,28000,2
0,1,0,Semi-Furnished,700,26000,2
0,0,1,Furnished,780,43000,2
0,0,1,Furnished,432,25000,1
0,0,1,Furnished,780,36000,2
0,1,0,Semi-Furnished,700,26300,2
1,0,0,Unfurnished,740,33000,2
0,0,1,Furnished,1200,55000,3
0,0,1,Furnished,1200,44000,3
1,0,0,Unfurnished,743,29000,2
1,0,0,Unfurnished,743,28000,2
1,0,0,Unfurnished,480,20000,1
1,0,0,Unfurnished,480,23000,1
1,0,0,Unfurnished,480,20000,1
1,0,0,Unfurnished,487,22000,1
0,1,0,Semi-Furnished,700,30000,2
1,0,0,Unfurnished,1450,60000,4
0,0,1,Furnished,450,25000,1
0,0,1,Furnished,450,23000,1
1,0,0,Unfurnished,745,24600,2
1,0,0,Unfurnished,750,23000,2
1,0,0,Unfurnished,1130,42000,3
0,1,0,Semi-Furnished,700,29500,2
1,0,0,Unfurnished,488,15500,1
0,0,1,Furnished,450,25000,1
0,1,0,Semi-Furnished,710,34000,2
1,0,0,Unfurnished,1135,50000,3
0,1,0,Semi-Furnished,718,35000,2
1,0,0,Unfurnished,750,25000,2
0,1,0,Semi-Furnished,721,35000,2
0,0,1,Furnished,788,40000,2
1,0,0,Unfurnished,750,29000,2
0,0,1,Furnished,788,37000,2
0,0,1,Furnished,788,38000,2
0,0,1,Furnished,788,38000,2
0,1,0,Semi-Furnished,730,30000,2
0,1,0,Semi-Furnished,730,28500,2
0,1,0,Semi-Furnished,730,32000,2
1,0,0,Unfurnished,750,29000,2
1,0,0,Unfurnished,500,22000,1
0,1,0,Semi-Furnished,730,20000,2
1,0,0,Unfurnished,750,30000,2
0,0,1,Furnished,788,45000,2
0,0,1,Furnished,788,45000,2
0,1,0,Semi-Furnished,730,12000,1
1,0,0,Unfurnished,500,20000,1
0,1,0,Semi-Furnished,735,28000,2
0,0,1,Furnished,450,22000,1
0,1,0,Semi-Furnished,740,22000,2
1,0,0,Unfurnished,500,25000,1
0,1,0,Semi-Furnished,745,35000,2
0,1,0,Semi-Furnished,750,38000,2
0,0,1,Furnished,450,22000,1
1,0,0,Unfurnished,750,27000,2
0,0,1,Furnished,800,38000,2
0,0,1,Furnished,800,45000,2
0,0,1,Furnished,800,35000,2
1,0,0,Unfurnished,500,22000,1
0,1,0,Semi-Furnished,750,30000,2
0,1,0,Semi-Furnished,750,29000,2
0,1,0,Semi-Furnished,750,24000,2
0,1,0,Semi-Furnished,750,32000,2
0,0,1,Furnished,800,37999,2
1,0,0,Unfurnished,1184,45000,3
1,0,0,Unfurnished,1200,45000,3
1,0,0,Unfurnished,500,25000,1
0,1,0,Semi-Furnished,750,29000,2
1,0,0,Unfurnished,500,21000,1
1,0,0,Unfurnished,750,33000,2
0,1,0,Semi-Furnished,750,40000,2
1,0,0,Unfurnished,750,25000,2
0,0,1,Furnished,800,32400,2
1,0,0,Unfurnished,750,23000,2
0,1,0,Semi-Furnished,750,29000,2
0,1,0,Semi-Furnished,750,16500,2
0,1,0,Semi-Furnished,750,38000,2
1,0,0,Unfurnished,750,31000,2
0,1,0,Semi-Furnished,750,30000,2
1,0,0,Unfurnished,750,27000,2
0,1,0,Semi-Furnished,750,16500,2
0,0,1,Furnished,1250,60000,3
1,0,0,Unfurnished,750,28500,2
0,0,1,Furnished,1250,50000,3
1,0,0,Unfurnished,750,28000,2
1,0,0,Unfurnished,750,28000,2
1,0,0,Unfurnished,1210,45000,3
0,0,1,Furnished,810,45000,2
0,0,1,Furnished,823,40000,2
0,0,1,Furnished,824,40000,2
0,1,0,Semi-Furnished,750,30000,2
0,1,0,Semi-Furnished,750,25000,2
0,0,1,Furnished,1250,55000,3
0,0,1,Furnished,1700,80000,4
1,0,0,Unfurnished,750,29000,2
0,1,0,Semi-Furnished,755,15000,1
1,0,0,Unfurnished,1230,41000,3
1,0,0,Unfurnished,750,36800,2
1,0,0,Unfurnished,500,22500,1
1,0,0,Unfurnished,750,28000,2
0,1,0,Semi-Furnished,756,30000,1
1,0,0,Unfurnished,750,27000,2
0,1,0,Semi-Furnished,760,27500,2
1,0,0,Unfurnished,750,30000,2
0,1,0,Semi-Furnished,760,35000,2
0,1,0,Semi-Furnished,764,23500,2
1,0,0,Unfurnished,500,22000,1
0,0,1,Furnished,450,26000,1
1,0,0,Unfurnished,500,25000,1
1,0,0,Unfurnished,750,24000,2
1,0,0,Unfurnished,1242,48000,3
1,0,0,Unfurnished,750,36000,2
1,0,0,Unfurnished,1250,37000,3
1,0,0,Unfurnished,500,23000,1
0,1,0,Semi-Furnished,770,30000,2
1,0,0,Unfurnished,750,30000,2
1,0,0,Unfurnished,1250,38000,3
1,0,0,Unfurnished,500,20000,1
0,0,1,Furnished,825,35000,2
1,0,0,Unfurnished,750,30000,2
0,1,0,Semi-Furnished,770,14500,1
0,1,0,Semi-Furnished,775,28000,2
0,0,1,Furnished,1250,48000,3
0,0,1,Furnished,450,26000,1
1,0,0,Unfurnished,751,26000,2
0,1,0,Semi-Furnished,780,33000,2
0,0,1,Furnished,1250,50000,3
0,1,0,Semi-Furnished,780,32000,2
0,0,1,Furnished,1300,45000,3
0,0,1,Furnished,840,35000,2
0,0,1,Furnished,850,37600,2
0,1,0,Semi-Furnished,780,25500,2
1,0,0,Unfurnished,1260,47000,3
0,1,0,Semi-Furnished,788,28000,2
1,0,0,Unfurnished,1300,40500,3
1,0,0,Unfurnished,500,13000,1
0,1,0,Semi-Furnished,788,25000,2
0,0,1,Furnished,850,40000,2
0,1,0,Semi-Furnished,800,32000,2
0,1,0,Semi-Furnished,800,30000,2
0,0,1,Furnished,850,35000,2
0,0,1,Furnished,850,40000,2
1,0,0,Unfurnished,1300,38000,3
0,1,0,Semi-Furnished,800,32000,2
1,0,0,Unfurnished,500,23000,1
0,0,1,Furnished,450,25000,1
1,0,0,Unfurnished,753,32000,2
1,0,0,Unfurnished,760,33000,2
1,0,0,Unfurnished,760,20000,2
0,1,0,Semi-Furnished,800,23900,2
0,0,1,Furnished,450,26000,1
0,0,1,Furnished,850,30000,2
0,0,1,Furnished,850,30000,2
0,1,0,Semi-Furnished,800,28100,2
0,0,1,Furnished,850,40000,2
0,0,1,Furnished,850,39000,2
0,0,1,Furnished,450,25000,1
0,0,1,Furnished,1328,60000,3
1,0,0,Unfurnished,764,20000,2
0,1,0,Semi-Furnished,800,37000,2
1,0,0,Unfurnished,770,38000,2
0,0,1,Furnished,850,21000,2
0,1,0,Semi-Furnished,800,27000,2
0,0,1,Furnished,450,25000,1
0,0,1,Furnished,850,40000,2
0,1,0,Semi-Furnished,800,23000,2
0,1,0,Semi-Furnished,800,30000,2
0,1,0,Semi-Furnished,800,28000,2
0,0,1,Furnished,450,23500,1
0,1,0,Semi-Furnished,800,32000,3
0,1,0,Semi-Furnished,800,32000,2
0,1,0,Semi-Furnished,800,28000,2
0,1,0,Semi-Furnished,800,28000,2
1,0,0,Unfurnished,500,13000,1
0,1,0,Semi-Furnished,828,20000,2
0,0,1,Furnished,460,25000,1
1,0,0,Unfurnished,1300,48000,3
0,0,1,Furnished,850,45000,2
0,1,0,Semi-Furnished,830,24000,2
0,0,1,Furnished,850,38000,2
0,1,0,Semi-Furnished,830,37000,2
0,0,1,Furnished,850,40000,2
0,0,1,Furnished,465,21000,1
0,1,0,Semi-Furnished,840,37000,2
1,0,0,Unfurnished,780,22000,2
1,0,0,Unfurnished,1300,45000,3
1,0,0,Unfurnished,780,30000,2
1,0,0,Unfurnished,501,21500,1
0,1,0,Semi-Furnished,850,27000,2
1,0,0,Unfurnished,780,29000,2
1,0,0,Unfurnished,1300,39000,3
0,0,1,Furnished,472,26000,1
0,0,1,Furnished,850,40000,2
1,0,0,Unfurnished,781,36000,2
0,0,1,Furnished,480,26000,1
1,0,0,Unfurnished,781,36000,2
0,1,0,Semi-Furnished,850,31000,2
0,0,1,Furnished,850,32000,2
0,1,0,Semi-Furnished,850,23000,2
0,1,0,Semi-Furnished,850,23000,2
0,1,0,Semi-Furnished,850,31000,3
1,0,0,Unfurnished,501,22000,1
0,0,1,Furnished,850,26000,2
0,0,1,Furnished,850,40000,2
0,1,0,Semi-Furnished,850,32000,2
1,0,0,Unfurnished,788,30000,2
1,0,0,Unfurnished,788,30000,2
0,0,1,Furnished,1350,50000,3
0,0,1,Furnished,488,25000,1
1,0,0,Unfurnished,790,32000,2
1,0,0,Unfurnished,510,20000,1
0,1,0,Semi-Furnished,850,26000,2
1,0,0,Unfurnished,795,33000,2
0,0,1,Furnished,1700,75000,4
0,1,0,Semi-Furnished,850,32000,2
1,0,0,Unfurnished,795,36000,2
0,0,1,Furnished,2100,80000,4
1,0,0,Unfurnished,510,13000,1
0,0,1,Furnished,2100,75000,4
0,0,1,Furnished,850,34000,2
0,1,0,Semi-Furnished,850,23000,2
0,0,1,Furnished,850,25000,2
0,0,1,Furnished,850,42000,2
0,0,1,Furnished,858,45000,2
1,0,0,Unfurnished,800,36000,2
1,0,0,Unfurnished,1335,45000,3
1,0,0,Unfurnished,800,30000,2
0,0,1,Furnished,900,38000,2
1,0,0,Unfurnished,800,26000,2
0,1,0,Semi-Furnished,890,25000,2
0,0,1,Furnished,500,25000,1
1,0,0,Unfurnished,800,28200,2
0,1,0,Semi-Furnished,900,36000,2
1,0,0,Unfurnished,520,25000,1
0,1,0,Semi-Furnished,900,27900,2
1,0,0,Unfurnished,530,22500,1
0,0,1,Furnished,900,40000,2
0,1,0,Semi-Furnished,900,27000,2
0,0,1,Furnished,500,20000,1
1,0,0,Unfurnished,810,35000,2
0,1,0,Semi-Furnished,900,35000,2
0,0,1,Furnished,500,25000,1
1,0,0,Unfurnished,530,21000,1
1,0,0,Unfurnished,530,21000,1
0,0,1,Furnished,900,40000,2
1,0,0,Unfurnished,530,23000,1
0,1,0,Semi-Furnished,900,30000,3
0,1,0,Semi-Furnished,900,30000,2
0,1,0,Semi-Furnished,900,20000,2
0,0,1,Furnished,500,25000,1
0,0,1,Furnished,500,23000,1
0,1,0,Semi-Furnished,900,28000,2
0,0,1,Furnished,1350,55000,3
0,1,0,Semi-Furnished,900,32000,2
1,0,0,Unfurnished,550,20000,1
0,0,1,Furnished,500,20000,1
0,1,0,Semi-Furnished,910,36000,2
0,1,0,Semi-Furnished,918,28000,2
0,0,1,Furnished,500,25000,1
1,0,0,Unfurnished,820,30000,2
1,0,0,Unfurnished,820,27500,2
1,0,0,Unfurnished,550,22000,1
1,0,0,Unfurnished,823,34000,2
1,0,0,Unfurnished,550,25000,1
0,0,1,Furnished,900,29000,2
1,0,0,Unfurnished,825,28000,2
0,1,0,Semi-Furnished,930,34000,2
0,1,0,Semi-Furnished,930,26000,2
1,0,0,Unfurnished,840,32000,2
1,0,0,Unfurnished,550,23000,1
1,0,0,Unfurnished,550,21000,1
1,0,0,Unfurnished,550,20000,1
1,0,0,Unfurnished,840,35000,2
0,0,1,Furnished,501,27000,1
0,0,1,Furnished,510,25000,1
0,0,1,Furnished,900,35000,2
0,0,1,Furnished,1400,65000,3
