Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Rent,BHK
1,0,0,Unfurnished,928,26000.00,2
1,0,0,Unfurnished,1200,25000.00,3
0,1,0,Semi-Furnished,900,34000.00,2
0,0,1,Furnished,650,12000.00,1
1,0,0,Unfurnished,800,24000.00,2
0,1,0,Semi-Furnished,800,26000.00,2
0,0,1,Furnished,700,26000.00,2
1,0,0,Unfurnished,457,16000.00,1
0,1,0,Semi-Furnished,925,21000.00,2
1,0,0,Unfurnished,850,24000.00,2
0,0,1,Furnished,644,10000.00,1
1,0,0,Unfurnished,980,35000.00,2
0,1,0,Semi-Furnished,850,24000.00,2
0,0,1,Furnished,660,10000.00,1
1,0,0,Unfurnished,600,15500.00,1
0,0,1,Furnished,900,27000.00,2
1,0,0,Unfurnished,451,25000.00,1
0,0,1,Furnished,950,24900.00,2
0,1,0,Semi-Furnished,450,9300.00,2
0,1,0,Semi-Furnished,867,32000.00,2
1,0,0,Unfurnished,550,21000.00,2
1,0,0,Unfurnished,600,24000.00,1
0,1,0,Semi-Furnished,1050,36000.00,3
0,0,1,Furnished,650,10000.00,1
1,0,0,Unfurnished,800,20000.00,2
0,1,0,Semi-Furnished,950,35000.00,2
0,1,0,Semi-Furnished,1050,30000.00,2
1,0,0,Unfurnished,800,19100.00,2
0,1,0,Semi-Furnished,450,6500.00,1
0,0,1,Furnished,689,10000.00,1
0,1,0,Semi-Furnished,573,25000.00,2
1,0,0,Unfurnished,850,19000.00,2
1,0,0,Unfurnished,430,16000.00,1
1,0,0,Unfurnished,500,19000.00,1
0,0,1,Furnished,650,10800.00,1
1,0,0,Unfurnished,1100,25001.00,2
1,0,0,Unfurnished,650,20000.00,2
0,1,0,Semi-Furnished,820,30000.00,2
1,0,0,Unfurnished,1200,25000.00,2
1,0,0,Unfurnished,650,20000.00,2
0,1,0,Semi-Furnished,740,22000.00,2
0,0,1,Furnished,835,36999.00,2
0,0,1,Furnished,200,15000.00,1
1,0,0,Unfurnished,450,17100.00,1
1,0,0,Unfurnished,450,16500.00,1
0,1,0,Semi-Furnished,500,18000.00,1
0,1,0,Semi-Furnished,500,18000.00,1
1,0,0,Unfurnished,700,25000.00,2
0,0,1,Furnished,1530,47000.00,3
1,0,0,Unfurnished,550,18600.00,2
0,0,1,Furnished,1200,35000.00,3
0,0,1,Furnished,1876,40000.00,3
1,0,0,Unfurnished,450,16200.00,1
1,0,0,Unfurnished,318,7500.00,1
0,1,0,Semi-Furnished,450,8800.00,2
0,1,0,Semi-Furnished,450,8900.00,2
0,1,0,Semi-Furnished,1000,17700.00,2
1,0,0,Unfurnished,700,25000.00,2
0,0,1,Furnished,900,32000.00,3
1,0,0,Unfurnished,450,20500.00,1
1,0,0,Unfurnished,745,23000.00,2
1,0,0,Unfurnished,1250,25000.00,2
0,0,1,Furnished,750,13700.00,1
0,0,1,Furnished,650,10000.00,1
1,0,0,Unfurnished,1112,28000.00,2
0,0,1,Furnished,644,10000.00,1
1,0,0,Unfurnished,650,22000.00,2
1,0,0,Unfurnished,980,10000.00,2
1,0,0,Unfurnished,1200,25000.00,3
1,0,0,Unfurnished,1107,45000.00,3
1,0,0,Unfurnished,400,18900.00,1
0,0,1,Furnished,510,31000.00,1
0,1,0,Semi-Furnished,1017,20000.00,2
1,0,0,Unfurnished,700,18000.00,2
0,1,0,Semi-Furnished,440,21500.00,1
0,1,0,Semi-Furnished,1053,20000.00,3
1,0,0,Unfurnished,700,23000.00,2
0,0,1,Furnished,950,40000.00,2
0,1,0,Semi-Furnished,850,17000.00,2
0,0,1,Furnished,778,28000.00,2
0,0,1,Furnished,737,28100.00,2
0,0,1,Furnished,738,28000.00,2
0,1,0,Semi-Furnished,685,23000.00,2
0,1,0,Semi-Furnished,230,6000.00,1
0,1,0,Semi-Furnished,230,6100.00,1
0,1,0,Semi-Furnished,230,6500.00,1
0,1,0,Semi-Furnished,580,11000.00,3
1,0,0,Unfurnished,900,22000.00,2
0,1,0,Semi-Furnished,1339,38000.00,3
0,0,1,Furnished,1445,35000.00,3
0,1,0,Semi-Furnished,420,9100.00,2
0,1,0,Semi-Furnished,420,9200.00,2
0,0,1,Furnished,420,13000.00,2
0,1,0,Semi-Furnished,315,7000.00,1
0,0,1,Furnished,800,25000.00,2
0,1,0,Semi-Furnished,320,7100.00,1
0,1,0,Semi-Furnished,315,7200.00,1
1,0,0,Unfurnished,1200,38000.00,3
1,0,0,Unfurnished,800,21000.00,2
0,1,0,Semi-Furnished,580,11200.00,3
0,1,0,Semi-Furnished,580,11500.00,3
0,0,1,Furnished,1118,30000.00,2
0,0,1,Furnished,900,21000.00,2
0,1,0,Semi-Furnished,980,30000.00,2
