Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Rent,BHK
0,1,0,Semi-Furnished,310,15000,1
0,1,0,Semi-Furnished,350,15000,1
1,0,0,Unfurnished,361,15000,1
1,0,0,Unfurnished,380,15000,1
1,0,0,Unfurnished,400,15000,1
0,0,1,Furnished,400,15000,1
0,0,1,Furnished,410,20000,1
1,0,0,Unfurnished,420,16000,1
0,1,0,Semi-Furnished,430,16000,1
1,0,0,Unfurnished,450,20000,1
0,1,0,Semi-Furnished,450,20000,1
0,0,1,Furnished,450,20000,1
0,0,1,Furnished,450,13500,1
1,0,0,Unfurnished,450,15000,1
1,0,0,Unfurnished,450,16000,1
1,0,0,Unfurnished,450,16000,1
0,0,1,Furnished,450,28000,1
1,0,0,Unfurnished,450,28000,1
1,0,0,Unfurnished,450,7000,1
0,0,1,Furnished,450,23000,1
1,0,0,Unfurnished,450,23000,1
0,1,0,Semi-Furnished,450,18000,1
1,0,0,Unfurnished,450,10000,1
0,1,0,Semi-Furnished,450,27000,1
1,0,0,Unfurnished,450,27000,1
0,1,0,Semi-Furnished,450,17000,1
1,0,0,Unfurnished,450,17000,1
1,0,0,Unfurnished,450,17000,1
0,1,0,Semi-Furnished,450,22000,1
1,0,0,Unfurnished,480,16200,1
1,0,0,Unfurnished,480,16000,1
0,1,0,Semi-Furnished,480,18000,1
1,0,0,Unfurnished,480,24000,1
1,0,0,Unfurnished,484,16000,1
0,0,1,Furnished,490,15000,1
1,0,0,Unfurnished,500,21000,1
0,0,1,Furnished,500,18000,1
1,0,0,Unfurnished,500,10000,1
0,1,0,Semi-Furnished,500,10000,1
1,0,0,Unfurnished,500,26000,1
0,0,1,Furnished,510,21000,1
0,1,0,Semi-Furnished,510,21000,1
0,1,0,Semi-Furnished,510,23000,1
1,0,0,Unfurnished,510,25000,1
0,1,0,Semi-Furnished,510,27000,1
0,1,0,Semi-Furnished,510,26000,1
1,0,0,Unfurnished,510,22000,1
1,0,0,Unfurnished,510,22000,1
1,0,0,Unfurnished,520,16000,1
0,1,0,Semi-Furnished,520,24000,1
0,1,0,Semi-Furnished,525,14000,1
0,1,0,Semi-Furnished,530,23000,1
0,1,0,Semi-Furnished,550,30000,2
1,0,0,Unfurnished,550,20000,1
0,0,1,Furnished,550,20000,1
0,0,1,Furnished,550,18000,1
