Unfurnished,Semi-Furnished,Furnished,Area_sqft,Rent,BHK
1,0,0,997,45000,2
0,1,0,990,27000,2
0,1,0,990,35000,2
1,0,0,988,36000,2
0,1,0,987,37000,2
0,0,1,984,40000,2
1,0,0,983,40000,2
1,0,0,980,41500,2
1,0,0,980,41000,2
1,0,0,980,40000,2
0,1,0,980,40000,2
0,1,0,980,34000,3
0,1,0,980,42000,2
0,1,0,980,36000,2
0,1,0,980,42000,2
0,1,0,960,42000,2
0,1,0,960,40000,2
0,1,0,960,45000,2
0,1,0,960,43000,2
0,1,0,960,36000,2
0,0,1,960,45000,2
0,0,1,960,45000,2
0,1,0,956,40000,2
0,1,0,956,46000,2
0,1,0,956,45000,2
0,1,0,956,44000,2
1,0,0,955,32000,2
1,0,0,955,41000,2
0,1,0,955,40000,2
0,0,1,955,45000,2
0,0,1,955,48000,2
0,0,1,955,48000,2
0,0,1,954,42000,2
1,0,0,950,41000,3
1,0,0,950,38000,2
1,0,0,950,32000,2
1,0,0,950,35000,2
1,0,0,950,35000,2
1,0,0,950,40000,2
1,0,0,950,42000,2
1,0,0,950,50000,2
1,0,0,950,35000,2
1,0,0,950,35000,2
1,0,0,950,31000,2
1,0,0,950,43000,3
1,0,0,950,32600,2
0,1,0,950,43000,2
0,1,0,950,35000,2
0,1,0,950,32000,2
0,1,0,950,32000,2
0,1,0,950,33000,2
0,1,0,950,33000,2
0,1,0,950,33000,2
0,1,0,950,35000,2
0,1,0,950,38000,2
0,1,0,950,35000,2
0,1,0,950,32000,2
0,0,1,950,45000,2
0,0,1,950,40000,2
0,0,1,950,35000,2
0,0,1,950,42000,2
0,0,1,950,40000,2
0,0,1,950,45000,2
0,0,1,950,45000,2
1,0,0,940,42000,2
1,0,0,940,40000,2
0,1,0,935,30000,2
1,0,0,930,35000,2
0,0,1,930,40000,2
1,0,0,926,36000,2
0,1,0,920,35000,2
1,0,0,910,35000,2
0,1,0,910,30000,2
0,1,0,903,36000,2
1,0,0,902,21000,1
1,0,0,902,35000,2
1,0,0,900,29000,2
1,0,0,900,31000,2
1,0,0,900,30000,2
1,0,0,900,32000,2
1,0,0,900,32000,2
1,0,0,900,35000,2
1,0,0,900,32000,2
1,0,0,900,32000,2
1,0,0,900,32000,2
1,0,0,900,35000,2
1,0,0,900,32000,2
1,0,0,900,32000,2
1,0,0,900,35000,2
1,0,0,900,32000,2
0,1,0,900,33000,2
0,1,0,900,36000,2
0,1,0,900,35000,2
0,1,0,900,42000,2
0,1,0,900,34000,2
0,1,0,900,30000,2
0,1,0,900,32000,2
0,1,0,900,33000,2
0,1,0,900,35000,2
0,1,0,900,33000,2
0,1,0,900,33000,2
0,1,0,900,33000,2
0,1,0,900,32000,2
0,1,0,900,32000,2
0,1,0,900,35000,2
0,1,0,900,35000,2
0,0,1,900,35000,2
0,0,1,900,40000,2
0,0,1,900,35000,2
0,0,1,900,34000,2
0,0,1,900,30000,2
0,0,1,900,40000,2
1,0,0,896,32000,2
1,0,0,890,32000,2
1,0,0,890,32000,2
0,1,0,890,34000,2
0,0,1,890,42000,2
1,0,0,885,35000,2
0,1,0,885,31500,2
0,0,1,880,40000,2
0,1,0,875,31900,2
0,0,1,875,40000,2
1,0,0,870,35000,2
1,0,0,870,32000,2
1,0,0,870,34000,2
1,0,0,870,33000,2
1,0,0,870,32000,2
1,0,0,870,34000,2
0,0,1,865,40000,2
1,0,0,860,30000,2
1,0,0,860,34000,2
1,0,0,860,30000,2
0,1,0,860,30000,2
0,1,0,860,34000,2
0,1,0,860,32000,2
0,0,1,860,36000,2
0,0,1,860,40000,2
0,0,1,860,32000,2
1,0,0,855,33000,2
1,0,0,855,33000,2
1,0,0,855,27000,2
0,1,0,855,30000,2
1,0,0,850,27500,2
1,0,0,850,35000,2
1,0,0,850,35000,2
1,0,0,850,31000,2
1,0,0,850,35000,2
1,0,0,850,27000,2
1,0,0,850,35000,2
1,0,0,850,30000,2
1,0,0,850,35000,2
1,0,0,850,32000,2
1,0,0,850,28000,2
1,0,0,850,30000,2
1,0,0,850,30000,2
1,0,0,850,34500,2
1,0,0,850,35000,2
1,0,0,850,29000,2
1,0,0,850,32000,2
1,0,0,850,35000,2
1,0,0,850,30000,2
1,0,0,850,32000,2
1,0,0,850,42000,2
1,0,0,850,42000,2
1,0,0,850,35000,2
1,0,0,850,45000,2
1,0,0,850,40000,2
1,0,0,850,35000,2
1,0,0,850,35000,2
1,0,0,850,35000,2
1,0,0,850,35000,2
1,0,0,850,35000,2
1,0,0,850,30000,2
0,1,0,850,33000,2
0,1,0,850,35000,2
0,1,0,850,29000,2
0,1,0,850,34000,2
0,1,0,850,36000,2
0,1,0,850,35000,2
0,1,0,850,35000,2
0,1,0,850,28000,2
0,1,0,850,34000,2
0,1,0,850,32000,2
0,1,0,850,27000,2
0,1,0,850,32000,2
0,1,0,850,35000,2
0,1,0,850,38000,2
0,1,0,850,39000,2
0,1,0,850,36000,2
0,1,0,850,32000,2
0,1,0,850,31000,2
0,1,0,850,32000,2
0,1,0,850,33000,2
0,1,0,850,30000,2
0,1,0,850,32000,2
0,1,0,850,32000,2
0,1,0,850,35000,2
0,1,0,850,35000,2
0,1,0,850,35000,2
0,0,1,850,34000,2
0,0,1,850,35000,2
0,0,1,850,36500,2
0,0,1,850,40000,2
0,0,1,850,38000,2
0,0,1,850,38000,2
0,0,1,850,42000,2
0,0,1,850,37000,2
0,0,1,850,43000,2
0,0,1,850,42000,2
0,0,1,850,45000,2
0,0,1,850,46000,2
1,0,0,846,31000,2
1,0,0,846,30000,2
0,1,0,842,32000,2
0,1,0,840,31500,2
0,1,0,840,32000,2
1,0,0,830,34000,2
0,1,0,830,35000,2
0,1,0,830,36000,2
1,0,0,826,35000,2
0,1,0,826,32000,2
0,0,1,825,47000,2
1,0,0,824,35000,2
1,0,0,824,34000,2
1,0,0,824,35000,2
0,1,0,824,34000,2
0,1,0,824,30000,2
0,0,1,824,45000,2
0,0,1,824,43000,2
0,0,1,824,45000,2
0,1,0,820,32000,2
0,1,0,820,32000,2
1,0,0,815,35000,2
1,0,0,815,32000,2
1,0,0,815,35000,2
0,1,0,815,34000,2
0,1,0,815,34000,2
0,0,1,815,45000,2
0,0,1,815,40000,2
1,0,0,811,32000,2
0,1,0,810,28000,2
0,1,0,810,37000,2
0,1,0,810,35000,2
0,0,1,810,40000,2
0,0,1,810,42000,2
1,0,0,809,35000,2
1,0,0,809,34000,2
1,0,0,808,29100,2
1,0,0,808,36000,2
1,0,0,808,30000,2
0,1,0,808,33000,2
1,0,0,807,34000,2
0,1,0,806,32000,2
1,0,0,800,30000,2
1,0,0,800,33000,2
1,0,0,800,28000,2
1,0,0,800,32000,2
1,0,0,800,30000,2
1,0,0,800,26000,1
1,0,0,800,33000,2
1,0,0,800,32000,2
1,0,0,800,34000,2
1,0,0,800,32000,2
0,1,0,800,30000,2
0,1,0,800,35000,2
0,1,0,800,34000,2
0,1,0,800,40000,2
0,1,0,800,32000,2
0,1,0,800,34000,2
0,1,0,800,35000,2
0,1,0,800,28000,2
0,1,0,800,34000,2
0,1,0,800,31000,2
0,1,0,800,35000,2
0,1,0,800,38000,2
0,1,0,800,35000,2
0,1,0,800,35000,2
0,1,0,800,31000,2
0,1,0,800,36000,2
0,1,0,800,34000,2
0,1,0,800,32000,2
0,1,0,800,32000,2
0,1,0,800,32000,2
0,1,0,800,32000,2
0,1,0,800,35000,2
0,1,0,800,25000,2
0,1,0,800,33000,2
0,1,0,800,31000,2
0,1,0,800,32000,2
0,1,0,800,32000,2
0,1,0,800,35000,2
0,1,0,800,30000,2
0,1,0,800,31000,2
0,1,0,800,33000,2
0,1,0,800,32000,2
0,1,0,800,30000,2
0,1,0,800,35000,2
0,0,1,800,40000,2
0,0,1,800,44000,2
0,0,1,800,45000,2
0,0,1,800,44000,2
0,0,1,800,40000,2
0,0,1,800,46000,2
0,0,1,800,42000,2
0,0,1,800,42000,2
0,0,1,800,40000,2
0,0,1,800,40000,2
0,0,1,800,38000,2
0,0,1,800,42000,2
0,0,1,800,40000,2
0,0,1,800,43000,2
0,0,1,800,43000,2
0,0,1,800,44000,2
0,0,1,800,43000,2
1,0,0,796,35000,2
1,0,0,796,36000,2
1,0,0,794,35000,2
1,0,0,794,35000,2
0,1,0,794,35000,2
0,0,1,794,45000,2
0,0,1,794,45000,2
1,0,0,790,33000,2
1,0,0,790,32000,2
1,0,0,790,32000,2
0,1,0,790,28000,2
0,1,0,790,28000,2
0,1,0,790,28000,2
0,1,0,790,28000,2
0,1,0,790,28000,2
0,1,0,790,28000,2
0,1,0,790,36000,2
0,1,0,790,35000,2
0,0,1,790,45000,2
1,0,0,785,30000,2
0,1,0,783,36000,2
1,0,0,780,36000,2
1,0,0,780,39000,2
1,0,0,780,30000,2
0,1,0,780,30000,2
0,1,0,780,33000,2
0,1,0,780,32000,2
0,0,1,780,45000,2
0,0,1,780,45000,2
0,0,1,779,14000,1
1,0,0,775,27000,2
1,0,0,768,35000,2
0,1,0,768,36000,2
0,1,0,768,32000,2
0,1,0,768,30000,2
0,1,0,768,32000,2
0,0,1,763,45000,2
0,0,1,763,44000,2
1,0,0,761,34000,2
1,0,0,760,30000,2
0,1,0,760,31000,2
0,1,0,760,35000,2
0,1,0,760,33000,2
0,1,0,757,35000,2
1,0,0,755,30000,2
1,0,0,755,30000,2
0,1,0,755,32000,2
0,0,1,755,45000,2
1,0,0,751,34000,2
1,0,0,750,35000,2
1,0,0,750,36000,2
1,0,0,750,30000,2
1,0,0,750,35000,2
1,0,0,750,28000,2
1,0,0,750,33000,2
1,0,0,750,35000,2
0,1,0,750,33000,2
0,1,0,750,35000,2
0,1,0,750,32000,2
0,1,0,750,33000,2
0,1,0,750,35000,2
0,1,0,750,27000,2
0,1,0,750,32000,2
0,1,0,750,40000,2
0,1,0,750,32000,2
0,1,0,750,32000,2
0,1,0,750,28000,2
0,0,1,750,40000,2
0,0,1,750,42000,2
0,0,1,750,18000,1
0,0,1,750,45000,2
0,0,1,750,35000,2
0,0,1,750,34000,2
0,0,1,750,20000,1
0,0,1,750,18200,1
0,1,0,745,31000,2
0,1,0,744,33000,2
0,0,1,743,45000,2
1,0,0,740,32000,2
1,0,0,740,33000,2
1,0,0,740,32000,2
1,0,0,740,31000,2
0,1,0,740,32000,2
0,1,0,740,36000,2
0,1,0,740,33000,2
0,1,0,740,36000,2
0,1,0,740,33000,2
0,0,1,740,44000,2
1,0,0,733,28000,2
0,1,0,732,35000,2
1,0,0,730,33000,2
0,1,0,730,33000,2
0,0,1,730,45000,2
0,1,0,729,35000,2
0,0,1,726,42000,2
1,0,0,723,30000,2
1,0,0,720,32000,2
1,0,0,720,32000,2
0,1,0,720,35000,2
1,0,0,700,26000,2
0,1,0,700,38000,2
0,1,0,700,28000,2
0,1,0,700,59000,3
0,1,0,700,27000,2
0,1,0,700,36000,2
0,0,1,700,40000,2
0,0,1,700,40000,2
1,0,0,680,18000,1
1,0,0,651,17000,1
1,0,0,650,26500,1
1,0,0,650,25000,1
1,0,0,650,25000,2
0,1,0,650,22000,1
0,0,1,650,19800,1
0,0,1,650,36000,2
0,0,1,650,10000,1
0,0,1,644,10000,1
0,0,1,644,10000,1
0,0,1,644,10000,1
0,0,1,644,10000,1
0,0,1,644,10000,1
0,0,1,644,10000,1
0,1,0,635,20000,2
0,1,0,620,20000,1
0,1,0,605,14000,1
0,1,0,600,16000,1
0,1,0,600,17000,1
0,1,0,600,15000,1
0,1,0,600,18000,1
1,0,0,580,20000,1
0,0,1,580,14100,1
1,0,0,560,22000,1
0,1,0,560,18000,1
1,0,0,550,26000,1
1,0,0,550,20000,1
1,0,0,550,12200,1
0,1,0,550,30000,2
0,1,0,550,24000,1
0,1,0,550,26000,1
0,1,0,550,18800,1
0,0,1,550,18000,1
0,0,1,550,20000,1
0,1,0,530,23000,1
1,0,0,520,16000,1
0,1,0,520,24000,1
1,0,0,510,22000,1
1,0,0,510,22000,1
1,0,0,510,25000,1
0,1,0,510,26000,1
0,1,0,510,23000,1
0,1,0,510,27000,1
0,1,0,510,21000,1
0,0,1,510,21000,1
1,0,0,500,26000,1
1,0,0,500,14500,1
1,0,0,500,11800,1
0,0,1,500,18000,1
0,0,1,490,15000,1
1,0,0,484,16000,1
1,0,0,480,16200,1
1,0,0,480,16000,1
1,0,0,480,24000,1
0,1,0,480,18000,1
0,1,0,463,21500,1
1,0,0,460,15500,1
1,0,0,450,20000,1
1,0,0,450,17000,1
1,0,0,450,16000,1
1,0,0,450,15000,1
1,0,0,450,16000,1
1,0,0,450,13000,1
1,0,0,450,17000,1
1,0,0,450,28000,1
1,0,0,450,23000,1
1,0,0,450,27000,1
0,1,0,450,27000,1
0,1,0,450,20000,1
0,1,0,450,22000,1
0,1,0,450,18200,1
0,1,0,450,18000,1
0,0,1,450,13500,1
0,0,1,450,20000,1
0,1,0,430,16000,1
1,0,0,420,14500,1
1,0,0,420,16000,1
0,0,1,410,20000,1
1,0,0,400,15000,1
0,0,1,400,15000,1
0,0,1,3800,69000,3
1,0,0,380,15000,1
1,0,0,361,15000,1
0,1,0,355,18800,1
0,1,0,350,15000,1
0,1,0,310,15000,1
0,1,0,3000,73000,3
0,0,1,3000,68000,3
0,0,1,3000,60000,3
1,0,0,300,15500,1
0,1,0,2900,70000,3
0,0,1,2850,69000,3
0,1,0,2650,70000,3
1,0,0,2500,65000,3
1,0,0,2400,60000,3
1,0,0,2400,60000,3
0,0,1,2400,72000,3
1,0,0,2350,58000,3
0,0,1,2300,65000,3
1,0,0,2200,70000,3
1,0,0,2200,75000,3
1,0,0,2200,80000,3
1,0,0,2200,80000,3
1,0,0,2200,85000,3
0,1,0,2200,70000,3
0,1,0,2200,72000,3
0,1,0,2200,70000,3
0,1,0,2200,75000,3
0,1,0,2200,80000,3
0,1,0,2200,80000,3
0,1,0,2200,72000,3
0,1,0,2200,82000,3
0,1,0,2200,76000,3
0,1,0,2200,80000,3
0,1,0,2200,80000,3
0,1,0,2200,80000,3
0,1,0,2200,75000,3
1,0,0,2150,90000,3
0,1,0,2100,60000,3
0,1,0,2100,57000,3
0,1,0,2100,55000,3
0,0,1,2100,70000,3
1,0,0,2050,60000,3
0,0,1,2050,80000,3
0,0,1,2050,80000,3
1,0,0,2020,70000,3
1,0,0,2000,70000,3
0,1,0,2000,62000,3
0,1,0,2000,60000,3
0,0,1,2000,65000,3
0,1,0,1900,65000,3
0,1,0,1900,60000,3
0,0,1,1900,58000,3
0,0,1,1900,90000,3
0,0,1,1900,91000,3
0,0,1,1900,92000,3
0,0,1,1900,80000,3
0,0,1,1900,78000,3
0,0,1,1900,65000,3
1,0,0,1880,50000,3
0,1,0,1860,58000,3
1,0,0,1855,50000,3
0,1,0,1855,58000,3
0,0,1,1855,60000,3
1,0,0,1850,50000,3
1,0,0,1850,50000,3
0,1,0,1840,65000,3
1,0,0,1800,70000,3
1,0,0,1800,80000,3
0,1,0,1800,64000,3
0,1,0,1800,62000,3
0,0,1,1800,63000,3
0,0,1,1800,70000,3
1,0,0,1750,50000,3
1,0,0,1750,50000,3
0,1,0,1750,55000,3
0,1,0,1750,55000,3
0,1,0,1750,50000,3
0,1,0,1750,50000,3
0,0,1,1750,65000,3
1,0,0,1743,48000,3
1,0,0,1701,77000,3
1,0,0,1700,80000,3
1,0,0,1700,75000,3
1,0,0,1700,80000,3
0,1,0,1700,50000,3
0,1,0,1700,55000,3
0,1,0,1700,80000,3
0,0,1,1700,60000,3
0,0,1,1700,60000,3
1,0,0,1661,85000,3
1,0,0,1661,80000,3
1,0,0,1661,70000,3
1,0,0,1661,75000,3
1,0,0,1661,80000,3
0,1,0,1661,75000,3
0,1,0,1661,75000,3
0,1,0,1650,85000,3
0,0,1,1650,65000,3
1,0,0,1600,34000,2
1,0,0,1600,62000,3
1,0,0,1600,58000,3
0,1,0,1600,68000,3
0,1,0,1600,62000,3
0,0,1,1600,60000,3
1,0,0,1560,34000,2
0,0,1,1560,62000,3
1,0,0,1550,55000,3
0,1,0,1550,55000,3
0,1,0,1550,50000,3
0,1,0,1520,60000,3
1,0,0,1500,60000,3
1,0,0,1500,60000,3
0,1,0,1500,55000,3
0,1,0,1500,55000,3
0,1,0,1500,55000,3
0,1,0,1500,62000,3
0,0,1,1500,40000,3
0,0,1,1500,43000,3
0,0,1,1460,70000,3
0,0,1,1458,60000,3
1,0,0,1456,53000,3
1,0,0,1455,55000,3
1,0,0,1450,55000,3
1,0,0,1450,45000,3
0,1,0,1450,51000,3
0,1,0,1450,52000,3
0,1,0,1450,55000,3
0,1,0,1450,51000,3
0,1,0,1450,50000,3
0,0,1,1450,65000,3
1,0,0,1440,40000,3
0,0,1,1410,55000,3
1,0,0,1400,50000,3
1,0,0,1400,59000,3
1,0,0,1400,50000,3
1,0,0,1400,45000,3
1,0,0,1400,41000,3
0,1,0,1400,48000,3
0,1,0,1400,55000,3
0,1,0,1400,52000,3
0,1,0,1400,54000,3
0,1,0,1400,50000,3
0,1,0,1400,48000,3
0,1,0,1400,50000,3
0,1,0,1400,53000,3
0,1,0,1400,45000,3
0,1,0,1400,45000,3
0,1,0,1400,55000,3
0,0,1,1400,60000,3
0,0,1,1400,67000,3
0,0,1,1400,60000,3
0,0,1,1400,65000,3
0,1,0,1390,42300,3
1,0,0,1380,50000,3
0,0,1,1380,35000,2
0,1,0,1375,50000,3
0,1,0,1361,45000,2
1,0,0,1350,45000,3
1,0,0,1350,45000,3
0,1,0,1350,57000,3
0,1,0,1350,55000,3
0,1,0,1350,47000,3
0,1,0,1350,48000,3
0,1,0,1350,50000,3
0,1,0,1350,48000,3
0,1,0,1350,55000,3
1,0,0,1340,43000,3
1,0,0,1325,40000,3
1,0,0,1320,43000,3
0,1,0,1320,50500,3
0,0,1,1317,60000,3
1,0,0,1300,45000,3
1,0,0,1300,46000,2
1,0,0,1300,44000,3
1,0,0,1300,45000,3
1,0,0,1300,45000,3
1,0,0,1300,40000,3
0,1,0,1300,55000,3
0,1,0,1300,55000,3
0,1,0,1300,42000,3
0,1,0,1300,47000,3
0,1,0,1300,50000,3
0,1,0,1300,53000,3
0,1,0,1300,48000,3
0,1,0,1300,40000,3
0,1,0,1300,38000,3
0,1,0,1300,40000,3
0,0,1,1300,58000,3
0,0,1,1291,55000,3
0,1,0,1280,50000,2
0,0,1,1274,40000,2
1,0,0,1260,45000,3
1,0,0,1255,45000,3
1,0,0,1250,45000,2
1,0,0,1250,38000,3
0,1,0,1250,40000,2
0,1,0,1250,40000,3
0,1,0,1250,40000,3
0,1,0,1250,40000,3
0,0,1,1250,36000,2
0,0,1,1250,60000,3
0,0,1,1248,40000,2
1,0,0,1210,45000,3
0,1,0,1210,50000,3
1,0,0,1200,45000,3
1,0,0,1200,45000,3
1,0,0,1200,45000,3
1,0,0,1200,44000,3
1,0,0,1200,40000,3
1,0,0,1200,43000,3
1,0,0,1200,42000,3
1,0,0,1200,45000,3
1,0,0,1200,35000,2
0,1,0,1200,42000,3
0,1,0,1200,55000,3
0,1,0,1200,44000,3
0,1,0,1200,44000,3
0,1,0,1200,42000,2
0,1,0,1200,42000,3
0,1,0,1200,23300,2
0,1,0,1200,47000,3
0,1,0,1200,44000,3
0,1,0,1200,38500,3
0,1,0,1200,42000,3
0,1,0,1200,52000,3
0,0,1,1200,50000,3
0,0,1,1200,60000,3
0,0,1,1200,50000,2
1,0,0,1198,45000,3
0,1,0,1183,46000,3
1,0,0,1180,46000,3
0,1,0,1180,48000,3
0,1,0,1180,45000,3
1,0,0,1174,40000,3
1,0,0,1160,42000,3
1,0,0,1150,32800,2
1,0,0,1150,37000,2
1,0,0,1150,36000,2
1,0,0,1150,45000,3
1,0,0,1150,45000,3
0,1,0,1150,40000,3
0,1,0,1150,47000,3
0,1,0,1150,41000,3
0,1,0,1150,40000,2
0,1,0,1150,37000,2
0,1,0,1149,43000,3
0,1,0,1140,42000,3
0,1,0,1140,30000,2
0,1,0,1140,40000,3
0,1,0,1136,37000,3
1,0,0,1120,30000,2
0,1,0,1120,45000,3
0,1,0,1120,45000,3
0,1,0,1120,45000,3
0,0,1,1120,40000,2
0,0,1,1120,45000,2
0,1,0,1110,42000,3
1,0,0,1100,42000,2
1,0,0,1100,40000,2
1,0,0,1100,45000,3
1,0,0,1100,40000,2
1,0,0,1100,40000,3
1,0,0,1100,35000,3
0,1,0,1100,35000,3
0,1,0,1100,47000,3
0,1,0,1100,35000,2
0,1,0,1100,32000,2
0,1,0,1100,40000,3
0,1,0,1100,35000,2
0,1,0,1100,33000,2
0,1,0,1100,45000,3
0,1,0,1100,40000,2
0,1,0,1100,45000,2
0,0,1,1100,43000,2
0,0,1,1100,40000,2
0,1,0,1098,43000,2
0,1,0,1093,34000,2
1,0,0,1085,45000,3
0,1,0,1084,28000,2
0,1,0,1080,35000,2
1,0,0,1070,45000,2
1,0,0,1070,44000,3
0,1,0,1065,43000,3
1,0,0,1060,42000,3
0,1,0,1060,45000,3
0,0,1,1060,42000,2
0,0,1,1060,49000,2
1,0,0,1050,42000,2
1,0,0,1050,40000,2
1,0,0,1050,40000,2
1,0,0,1050,40000,2
1,0,0,1050,45000,2
0,1,0,1050,30000,2
0,1,0,1050,25000,2
0,1,0,1050,32000,2
0,1,0,1050,42000,3
0,1,0,1050,37500,2
0,1,0,1050,33000,2
0,1,0,1050,36000,3
0,1,0,1050,32000,2
0,1,0,1050,32000,2
0,1,0,1050,37000,2
0,0,1,1050,50000,2
0,0,1,1050,47000,2
